Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
MD Mishra,2010-2010,1,1,0,29,29,29,16,181.25,0,0,0,6,0
PHKD Mendis,2025-2025,1,1,0,27,27,27,20,135,0,0,0,1,2
PP Shaw,2019-2024,2,2,0,27,14,13.5,14,192.85,0,0,0,3,2
PN Mankad,2023-2023,1,1,0,26,26,26,20,130,0,0,0,5,0
R Powell,2024-2025,2,1,0,26,26,26,13,200,0,0,0,1,3
RR Rossouw,2024-2024,1,1,0,26,26,26,16,162.5,0,0,0,1,2
JD Unadkat,2010-2019,11,2,1,26,26,26,19,136.84,0,0,0,3,1
HM Amla,2017-2017,1,1,0,25,25,25,27,92.59,0,0,0,4,0
CR Brathwaite,2016-2019,4,4,0,25,8,6.25,18,138.88,0,0,0,1,2
Mohammad Hafeez,2008-2008,4,4,0,25,13,6.25,33,75.75,0,0,0,3,1
SPD Smith,2012-2019,3,3,0,25,14,8.33,31,80.64,0,0,0,1,1
CR Woakes,2017-2018,7,4,1,25,18,8.33,30,83.33,0,0,0,4,0
CH Morris,2013-2019,6,4,0,24,11,6,23,104.34,0,0,1,3,0
SS Prabhudessai,2024-2024,1,1,0,24,24,24,18,133.33,0,0,0,3,0
DB Ravi Teja,2011-2013,2,2,0,24,14,12,23,104.34,0,0,0,1,1
GC Smith,2008-2008,1,1,0,24,24,24,24,100,0,0,0,4,0
K Gowtham,2018-2023,3,3,2,23,11*,23,16,143.75,0,0,0,2,1
J Arunkumar,2008-2008,1,1,0,22,22,22,17,129.41,0,0,0,5,0
SP Jackson,2017-2017,2,2,1,22,12*,22,14,157.14,0,0,0,4,0
AL Menaria,2011-2012,2,2,0,22,21,11,23,95.65,0,0,0,1,1
T Taibu,2008-2008,2,2,0,22,15,11,21,104.76,0,0,0,2,0
Abdul Samad,2024-2025,2,2,0,21,15,10.5,15,140,0,0,0,2,1
TK Curran,2018-2018,3,3,0,21,18,7,23,91.3,0,0,0,3,0
UT Khawaja,2016-2016,1,1,0,21,21,21,17,123.52,0,0,0,3,0
P Kumar,2008-2017,8,5,3,21,12,10.5,26,80.76,0,0,1,2,0
JM Sharma,2023-2025,3,1,0,21,21,21,18,116.66,0,0,0,0,2
MJ McClenaghan,2015-2018,3,1,0,20,20,20,8,250,0,0,0,0,3
MA Starc,2014-2024,7,3,3,20,12*,-,13,153.84,0,0,0,2,0
DJ Willey,2023-2023,1,1,1,20,20*,-,20,100,0,0,0,2,0
MG Bracewell,2023-2023,1,1,0,19,19,19,18,105.55,0,0,0,1,1
JO Holder,2014-2016,2,2,0,19,16,9.5,15,126.66,0,0,0,2,1
SN Khan,2018-2019,2,2,0,19,13,9.5,23,82.6,0,0,0,2,0
K Nitish Kumar Reddy,2025-2025,1,1,0,19,19,19,15,126.66,0,0,0,2,1
RT Ponting,2008-2008,2,2,0,19,19,9.5,32,59.37,0,0,1,1,0
S Rana,2014-2014,1,1,1,19,19*,-,12,158.33,0,0,0,2,0
TL Suman,2010-2011,2,2,1,19,15*,19,15,126.66,0,0,0,1,1
UT Yadav,2012-2023,25,8,7,19,6*,19,17,111.76,0,0,0,1,0
Abishek Porel,2024-2024,1,1,0,18,18,18,15,120,0,0,0,2,1
S Gopal,2018-2019,2,1,0,18,18,18,9,200,0,0,0,4,0
BJ Haddin,2011-2011,1,1,0,18,18,18,11,163.63,0,0,0,2,1
ST Jayasuriya,2008-2008,1,1,0,18,18,18,10,180,0,0,0,3,1
MK Lomror,2022-2024,2,2,0,18,14,9,12,150,0,0,0,3,0
KK Nair,2016-2018,3,2,0,18,15,9,25,72,0,0,0,3,0
Akash Deep,2023-2025,2,1,0,17,17,17,8,212.5,0,0,0,2,1
A Chopra,2008-2008,3,3,0,17,13,5.66,25,68,0,0,0,2,0
Harpreet Brar,2023-2025,3,1,1,17,17*,-,9,188.88,0,0,0,2,1
Naman Dhir,2024-2024,1,1,0,17,17,17,6,283.33,0,0,0,1,2
Shahbaz Ahmed,2022-2024,3,2,0,17,16,8.5,10,170,0,0,0,1,2
R Vinay Kumar,2008-2018,9,4,3,17,11,17,14,121.42,0,0,0,2,0
FY Fazal,2010-2011,2,2,0,16,13,8,17,94.11,0,0,0,1,0
Harshit Rana,2023-2025,16,3,2,16,10*,16,17,94.11,0,0,0,3,0
DL Vettori,2010-2012,3,2,2,16,12*,-,10,160,0,0,0,2,0
AB Agarkar,2008-2010,7,3,1,15,8*,7.5,13,115.38,0,0,0,2,0
NM Coulter-Nile,2016-2017,5,3,1,15,7*,7.5,19,78.94,0,0,0,1,1
MG Johnson,2013-2018,8,3,2,15,10*,15,18,83.33,0,0,0,0,1
AG Paunikar,2011-2011,1,1,0,15,15,15,15,100,0,0,0,2,0
SB Bangar,2008-2008,1,1,0,14,14,14,10,140,0,0,0,1,1
PJ Cummins,2014-2025,5,3,2,14,14,14,16,87.5,0,0,0,2,0
P Dogra,2010-2012,2,2,0,14,8,7,23,60.86,0,0,0,0,0
Harmeet Singh,2010-2013,3,1,0,14,14,14,6,233.33,0,0,0,3,0
CA Ingram,2019-2019,1,1,1,14,14*,-,6,233.33,0,0,0,1,1
Iqbal Abdulla,2008-2016,15,3,3,14,12*,-,12,116.66,0,0,0,1,0
C Munro,2016-2016,3,2,0,14,10,7,13,107.69,0,0,0,2,0
DW Steyn,2008-2019,7,2,1,14,13,14,13,107.69,0,0,0,1,0
AD Nath,2019-2019,1,1,0,13,13,13,15,86.66,0,0,0,0,1
JR Hopes,2008-2008,1,1,0,13,13,13,10,130,0,0,0,2,0
AS Raut,2010-2011,2,2,0,13,11,6.5,19,68.42,0,0,0,1,0
Shivam Mavi,2018-2018,6,3,1,13,7,6.5,12,108.33,0,0,0,1,0
Sohail Tanvir,2008-2008,1,1,0,13,13,13,8,162.5,0,0,0,1,1
AR Bawne,2017-2017,1,1,1,12,12*,-,12,100,0,0,0,1,0
J Fraser-McGurk,2024-2024,1,1,0,12,12,12,7,171.42,0,0,0,1,1
MF Maharoof,2008-2010,2,2,0,12,10,6,15,80,0,0,0,0,0
HV Patel,2012-2025,6,3,1,12,9*,6,11,109.09,0,0,1,0,1
PVD Chameera,2022-2024,2,1,1,11,11*,-,4,275,0,0,0,1,1
JP Inglis,2025-2025,1,1,1,11,11*,-,6,183.33,0,0,0,2,0
R Sathish,2010-2011,2,1,0,11,11,11,11,100,0,0,0,1,0
L Balaji,2008-2013,16,2,2,10,9*,-,8,125,0,0,0,1,0
RV Gomez,2011-2011,1,1,1,10,10*,-,10,100,0,0,0,0,1
B Lee,2011-2013,9,2,0,10,9,5,8,125,0,0,0,0,1
S Nadeem,2012-2018,3,2,1,10,6*,10,16,62.5,0,0,0,0,0
AS Yadav,2008-2008,1,1,0,10,10,10,10,100,0,0,0,0,1
Mohammed Shami,2018-2025,5,2,1,9,7,9,10,90,0,0,0,1,0
I Sharma,2008-2025,14,5,5,9,6*,-,18,50,0,0,0,0,0
D Wiese,2023-2023,2,2,1,9,8*,9,8,112.5,0,0,0,0,1
MC Juneja,2013-2013,1,1,0,8,8,8,9,88.88,0,0,0,1,0
Rasikh Salam,2024-2025,2,1,0,8,8,8,10,80,0,0,0,1,0
AC Voges,2010-2010,1,1,0,8,8,8,7,114.28,0,0,0,1,0
S Chanderpaul,2008-2008,1,1,0,7,7,7,11,63.63,0,0,0,1,0
SMSM Senanayake,2013-2013,5,2,2,7,7*,-,14,50,0,0,0,0,0
PC Valthaty,2011-2011,1,1,0,7,7,7,8,87.5,0,0,0,1,0
GH Vihari,2013-2015,2,2,0,7,6,3.5,14,50,0,0,0,0,0
BA Bhatt,2011-2013,3,1,1,6,6*,-,2,300,0,0,0,0,1
C Green,2024-2024,1,1,0,6,6,6,4,150,0,0,0,0,1
SD Hope,2024-2024,1,1,0,6,6,6,3,200,0,0,0,0,1
AS Roy,2023-2024,2,1,1,6,6*,-,6,100,0,0,0,0,0
SB Styris,2008-2008,1,1,0,6,6,6,7,85.71,0,0,0,1,0
LRPL Taylor,2011-2011,1,1,0,6,6,6,9,66.66,0,0,0,0,0
AU Verma,2025-2025,1,1,0,6,6,6,6,100,0,0,0,1,0
SK Warne,2008-2011,3,2,2,6,3*,-,10,60,0,0,0,0,0
AN Ahmed,2011-2015,3,1,1,5,5*,-,2,250,0,0,0,1,0
S Aravind,2011-2017,3,1,1,5,5*,-,4,125,0,0,0,1,0
Arshad Khan,2024-2024,1,1,0,5,5,5,4,125,0,0,0,1,0
SA Asnodkar,2008-2008,1,1,0,5,5,5,3,166.66,0,0,0,1,0
TA Boult,2017-2024,7,4,2,5,5*,2.5,11,45.45,0,0,2,0,0
JP Faulkner,2013-2017,3,2,1,5,4*,5,6,83.33,0,0,0,0,0
GB Hogg,2012-2016,10,1,0,5,5,5,5,100,0,0,0,0,0
BB Sran,2016-2019,3,2,2,5,3*,-,5,100,0,0,0,0,0
VR Aaron,2015-2019,3,1,0,4,4,4,5,80,0,0,0,0,0
A Ashish Reddy,2013-2013,1,1,0,4,4,4,5,80,0,0,0,0,0
KK Cooper,2013-2013,1,1,0,4,4,4,2,200,0,0,0,1,0
SM Curran,2023-2024,2,1,0,4,4,4,9,44.44,0,0,0,0,0
TM Head,2025-2025,1,1,0,4,4,4,2,200,0,0,0,1,0
SO Hetmyer,2022-2024,3,2,0,4,4,2,8,50,0,0,1,0,0
M Jansen,2023-2025,3,2,1,4,3,4,8,50,0,0,0,0,0
Z Khan,2008-2017,6,1,0,4,4,4,9,44.44,0,0,0,1,0
T Stubbs,2024-2024,1,1,0,4,4,4,7,57.14,0,0,0,0,0
SK Trivedi,2008-2013,6,2,0,4,4,2,4,100,0,0,1,1,0
S Anirudha,2012-2014,2,1,0,3,3,3,5,60,0,0,0,0,0
Anureet Singh,2015-2018,2,1,1,3,3*,-,4,75,0,0,0,0,0
IR Jaggi,2011-2011,1,1,0,3,3,3,9,33.33,0,0,0,0,0
VY Mahesh,2008-2008,1,1,0,3,3,3,6,50,0,0,0,0,0
RR Powar,2008-2011,3,1,1,3,3*,-,6,50,0,0,0,0,0
KS Sharma,2023-2023,1,1,0,3,3,3,5,60,0,0,0,0,0
N Wadhera,2024-2025,2,1,0,3,3,3,3,100,0,0,0,0,0
Azhar Mahmood,2013-2013,1,1,0,2,2,2,7,28.57,0,0,0,0,0
PD Collingwood,2010-2010,1,1,0,2,2,2,3,66.66,0,0,0,0,0
RS Gavaskar,2010-2010,2,1,0,2,2,2,8,25,0,0,0,0,0
DC Jurel,2023-2024,2,1,0,2,2,2,4,50,0,0,0,0,0
A Kamboj,2024-2024,1,1,1,2,2*,-,2,100,0,0,0,0,0
TS Mills,2017-2017,1,1,0,2,2,2,5,40,0,0,0,0,0
RG More,2015-2015,1,1,1,2,2*,-,2,100,0,0,0,0,0
Naveen-ul-Haq,2023-2023,1,1,1,2,2*,-,3,66.66,0,0,0,0,0
Ravi Bishnoi,2022-2025,4,1,0,2,2,2,2,100,0,0,0,0,0
JPR Scantlebury-Searles,2018-2018,2,1,0,2,2,2,5,40,0,0,0,0,0
SA Abbott,2015-2015,1,1,0,1,1,1,4,25,0,0,0,0,0
Anuj Rawat,2023-2023,1,1,0,1,1,1,5,20,0,0,0,0,0
VG Arora,2023-2025,11,1,1,1,1*,-,1,100,0,0,0,0,0
SE Bond,2010-2010,5,1,0,1,1,1,2,50,0,0,0,0,0
RD Chahar,2019-2024,3,1,1,1,1*,-,1,100,0,0,0,0,0
MJ Clarke,2012-2012,1,1,0,1,1,1,2,50,0,0,0,0,0
LH Ferguson,2019-2024,5,1,0,1,1,1,1,100,0,0,0,0,0
ML Hayden,2010-2010,1,1,0,1,1,1,8,12.5,0,0,0,0,0
SH Johnson,2025-2025,2,1,1,1,1*,-,1,100,0,0,0,0,0
Karanveer Singh,2014-2014,1,1,1,1,1*,-,1,100,0,0,0,0,0
K Kushagra,2024-2024,1,1,0,1,1,1,3,33.33,0,0,0,0,0
M Manhas,2012-2014,2,1,0,1,1,1,3,33.33,0,0,0,0,0
A Nehra,2008-2017,5,2,1,1,1*,1,5,20,0,0,1,0,0
PP Ojha,2008-2015,8,2,1,1,1*,1,1,100,0,0,1,0,0
WD Parnell,2012-2012,1,1,0,1,1,1,2,50,0,0,0,0,0
M Prasidh Krishna,2018-2025,12,2,2,1,1*,-,5,20,0,0,0,0,0
Sandeep Sharma,2015-2023,5,2,2,1,1*,-,1,100,0,0,0,0,0
RP Singh,2008-2011,2,1,1,1,1*,-,2,50,0,0,0,0,0
IS Sodhi,2018-2018,2,1,0,1,1,1,6,16.66,0,0,0,0,0
TM Srivastava,2008-2008,1,1,1,1,1*,-,1,100,0,0,0,0,0
R Tewatia,2018-2025,5,2,0,1,1,0.5,4,25,0,0,1,0,0
RE van der Merwe,2010-2012,2,1,0,1,1,1,2,50,0,0,0,0,0
Washington Sundar,2017-2025,4,2,2,1,1*,-,3,33.33,0,0,0,0,0
LB Williams,2024-2024,1,1,1,1,1*,-,2,50,0,0,0,0,0
Avesh Khan,2022-2025,3,1,1,0,0*,-,0,-,0,0,0,0,0
S Badree,2017-2017,1,1,0,0,0,0,3,0,0,0,1,0,0
YS Chahal,2013-2025,11,1,0,0,0,0,2,0,0,0,1,0,0
UBT Chand,2013-2013,1,1,0,0,0,0,1,0,0,0,1,0,0
TH David,2024-2025,2,1,0,0,0,0,3,0,0,0,1,0,0
JL Denly,2019-2019,1,1,0,0,0,0,1,0,0,0,1,0,0
Kamran Khan,2010-2010,1,1,1,0,0*,-,0,-,0,0,0,0,0
VVS Laxman,2008-2008,1,1,0,0,0,0,6,0,0,0,1,0,0
GD McGrath,2008-2008,1,1,1,0,0*,-,0,-,0,0,0,0,0
R McLaren,2010-2010,1,1,1,0,0*,-,2,0,0,0,0,0,0
SL Malinga,2011-2019,8,1,0,0,0,0,2,0,0,0,1,0,0
AD Mascarenhas,2012-2012,1,1,0,0,0,0,1,0,0,0,1,0,0
Mohammed Siraj,2019-2025,5,1,1,0,0*,-,0,-,0,0,0,0,0
M Morkel,2012-2016,10,1,1,0,0*,-,0,-,0,0,0,0,0
AM Nayar,2008-2011,2,1,0,0,0,0,2,0,0,0,1,0,0
Parvez Rasool,2014-2014,1,1,1,0,0*,-,0,-,0,0,0,0,0
PBB Rajapaksa,2023-2023,1,1,0,0,0,0,3,0,0,0,1,0,0
PJ Sangwan,2008-2010,2,1,0,0,0,0,1,0,0,0,1,0,0
Simarjeet Singh,2025-2025,1,1,0,0,0,0,1,0,0,0,1,0,0
A Singh,2011-2012,2,1,0,0,0,0,2,0,0,0,1,0,0
Swapnil Singh,2016-2016,1,1,0,0,0,0,1,0,0,0,1,0,0
SW Tait,2011-2011,1,1,0,0,0,0,1,0,0,0,1,0,0
WPUJC Vaas,2008-2008,1,1,0,0,0,0,1,0,0,0,1,0,0
CV Varun,2019-2025,20,1,1,0,0*,-,3,0,0,0,0,0,0
S Ladda,2013-2013,1,-,-,-,-,-,-,-,-,-,-,-,-
KK Ahmed,2018-2024,2,-,-,-,-,-,-,-,-,-,-,-,-
Akash Singh,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
KP Appanna,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-
Arshdeep Singh,2023-2025,3,-,-,-,-,-,-,-,-,-,-,-,-
M Ashwin,2016-2016,1,-,-,-,-,-,-,-,-,-,-,-,-
KM Asif,2018-2023,2,-,-,-,-,-,-,-,-,-,-,-,-
P Awana,2014-2014,1,-,-,-,-,-,-,-,-,-,-,-,-
Azmatullah Omarzai,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-
Basil Thampi,2017-2017,1,-,-,-,-,-,-,-,-,-,-,-,-
DE Bollinger,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-
RS Bopara,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-
JJ Bumrah,2015-2024,5,-,-,-,-,-,-,-,-,-,-,-,-
KC Cariappa,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-
DL Chahar,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
AA Chavan,2012-2013,2,-,-,-,-,-,-,-,-,-,-,-,-
M de Lange,2012-2012,3,-,-,-,-,-,-,-,-,-,-,-,-
TU Deshpande,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
AB Dinda,2008-2016,13,-,-,-,-,-,-,-,-,-,-,-,-
NT Ellis,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
CRD Fernando,2008-2010,2,-,-,-,-,-,-,-,-,-,-,-,-
MS Gony,2008-2010,2,-,-,-,-,-,-,-,-,-,-,-,-
HF Gurney,2019-2019,3,-,-,-,-,-,-,-,-,-,-,-,-
RJ Harris,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-
PW Hasaranga,2022-2022,1,-,-,-,-,-,-,-,-,-,-,-,-
JW Hastings,2016-2016,2,-,-,-,-,-,-,-,-,-,-,-,-
JR Hazlewood,2022-2025,2,-,-,-,-,-,-,-,-,-,-,-,-
BE Hendricks,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-
BW Hilfenhaus,2012-2014,2,-,-,-,-,-,-,-,-,-,-,-,-
Imran Tahir,2015-2019,3,-,-,-,-,-,-,-,-,-,-,-,-
SB Jakati,2011-2012,2,-,-,-,-,-,-,-,-,-,-,-,-
Jaskaran Singh,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-
CJ Jordan,2016-2016,1,-,-,-,-,-,-,-,-,-,-,-,-
AS Joseph,2022-2022,1,-,-,-,-,-,-,-,-,-,-,-,-
S Joseph,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
S Randiv,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-
S Kaul,2018-2019,3,-,-,-,-,-,-,-,-,-,-,-,-
S Kaushik,2016-2016,1,-,-,-,-,-,-,-,-,-,-,-,-
JM Kemp,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-
K Khejroliya,2018-2023,2,-,-,-,-,-,-,-,-,-,-,-,-
DS Kulkarni,2008-2017,3,-,-,-,-,-,-,-,-,-,-,-,-
A Kumble,2008-2010,2,-,-,-,-,-,-,-,-,-,-,-,-
CK Langeveldt,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-
B Laughlin,2018-2018,1,-,-,-,-,-,-,-,-,-,-,-,-
JB Little,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
OC McCoy,2022-2022,1,-,-,-,-,-,-,-,-,-,-,-,-
VS Malik,2013-2013,1,-,-,-,-,-,-,-,-,-,-,-,-
A Manohar,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
M Markande,2018-2024,3,-,-,-,-,-,-,-,-,-,-,-,-
BAW Mendis,2008-2010,2,-,-,-,-,-,-,-,-,-,-,-,-
Mohsin Khan,2022-2024,3,-,-,-,-,-,-,-,-,-,-,-,-
Mujeeb Ur Rahman,2018-2018,1,-,-,-,-,-,-,-,-,-,-,-,-
M Muralidaran,2008-2014,4,-,-,-,-,-,-,-,-,-,-,-,-
AG Murtaza,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-
Mustafizur Rahman,2016-2016,1,-,-,-,-,-,-,-,-,-,-,-,-
Y Nagar,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-
S Narwal,2013-2013,1,-,-,-,-,-,-,-,-,-,-,-,-
T Natarajan,2023-2024,2,-,-,-,-,-,-,-,-,-,-,-,-
L Ngidi,2018-2018,1,-,-,-,-,-,-,-,-,-,-,-,-
Noor Ahmad,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
M Ntini,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
IC Pandey,2014-2014,1,-,-,-,-,-,-,-,-,-,-,-,-
MB Parmar,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-
MM Patel,2008-2012,2,-,-,-,-,-,-,-,-,-,-,-,-
AUK Pathan,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-
M Pathirana,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
KMA Paul,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
SM Pollock,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
RW Price,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-
Y Prithvi Raj,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
K Rabada,2017-2024,3,-,-,-,-,-,-,-,-,-,-,-,-
AS Rajpoot,2016-2018,5,-,-,-,-,-,-,-,-,-,-,-,-
DS Rathi,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-
M Rawat,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
KAJ Roach,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-
JE Root,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
SE Rutherford,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-
Sachin Baby,2016-2016,1,-,-,-,-,-,-,-,-,-,-,-,-
NA Saini,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
R Sai Kishore,2022-2025,2,-,-,-,-,-,-,-,-,-,-,-,-
C Sakariya,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-
S Sandeep Warrier,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
MJ Santner,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
KR Sen,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
PR Shah,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
AR Sharma,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
Shoaib Akhtar,2008-2008,2,-,-,-,-,-,-,-,-,-,-,-,-
VRV Singh,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
TG Southee,2016-2023,3,-,-,-,-,-,-,-,-,-,-,-,-
S Sreesanth,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
SJ Srivastava,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-
B Stanlake,2018-2018,1,-,-,-,-,-,-,-,-,-,-,-,-
J Suchith,2015-2016,2,-,-,-,-,-,-,-,-,-,-,-,-
Suyash Sharma,2023-2025,10,-,-,-,-,-,-,-,-,-,-,-,-
J Syed Mohammad,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-
PV Tambe,2016-2016,1,-,-,-,-,-,-,-,-,-,-,-,-
Yash Thakur,2023-2024,2,-,-,-,-,-,-,-,-,-,-,-,-
M Theekshana,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
J Theron,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-
O Thomas,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
N Thushara,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
AJ Tye,2018-2019,2,-,-,-,-,-,-,-,-,-,-,-,-
Umran Malik,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
S Vidyut,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
GC Viljoen,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
Yash Dayal,2022-2025,3,-,-,-,-,-,-,-,-,-,-,-,-
A Zampa,2016-2016,1,-,-,-,-,-,-,-,-,-,-,-,-
Zeeshan Ansari,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-
Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
DA Warner,2012-2023,32,32,7,1623,126,64.92,1011,160.53,3,15,1,151,72
S Dhawan,2008-2023,47,47,7,1477,99*,36.92,1189,124.22,0,10,0,166,33
H Klaasen,2023-2025,17,15,4,614,104,55.81,336,182.73,1,2,0,50,34
RG Sharma,2008-2025,19,19,4,590,76*,39.33,411,143.55,0,5,0,62,24
Abhishek Sharma,2019-2025,19,19,2,521,141,30.64,255,204.31,1,3,1,51,37
KS Williamson,2016-2019,18,18,3,508,89,33.86,367,138.41,0,4,1,41,18
V Kohli,2008-2024,11,11,1,486,100,48.6,363,133.88,1,3,0,43,19
TM Head,2017-2025,12,12,1,459,89*,41.72,253,181.42,0,5,2,54,24
MC Henriques,2013-2017,21,19,4,409,57,27.26,324,126.23,0,3,2,39,12
JM Bairstow,2019-2019,6,6,2,357,114,89.25,212,168.39,1,2,0,36,16
SV Samson,2013-2025,8,8,2,353,102*,58.83,235,150.21,1,2,1,28,16
MK Pandey,2011-2023,17,15,1,352,54,25.14,327,107.64,0,1,1,25,6
YK Pathan,2008-2019,18,15,8,351,61,50.14,229,153.27,0,1,1,20,22
NV Ojha,2011-2018,25,18,5,343,79*,26.38,257,133.46,0,2,1,17,23
PA Patel,2008-2019,18,18,3,314,51*,20.93,276,113.76,0,1,0,42,3
AT Rayudu,2011-2019,9,8,2,280,79,46.66,207,135.26,0,3,0,26,8
SK Raina,2008-2019,8,8,3,276,99*,55.2,198,139.39,0,3,0,24,12
KL Rahul,2014-2024,10,8,1,257,79,36.71,205,125.36,0,2,0,21,9
Ishan Kishan,2018-2025,10,10,2,254,106*,31.75,172,147.67,1,0,1,26,12
JP Duminy,2011-2016,9,8,1,250,74,35.71,202,123.76,0,2,0,12,11
KC Sangakkara,2008-2013,16,16,0,250,44,15.62,249,100.4,0,0,2,28,1
AK Markram,2023-2025,10,10,2,249,50,31.12,199,125.12,0,1,0,20,4
MA Agarwal,2011-2024,12,12,0,247,49,20.58,212,116.5,0,0,0,26,3
F du Plessis,2015-2024,7,7,0,241,71,34.42,159,151.57,0,1,0,24,9
K Nitish Kumar Reddy,2023-2025,11,8,2,235,76*,39.16,171,137.42,0,1,0,14,14
V Sehwag,2008-2014,5,5,1,229,119,57.25,118,194.06,1,1,0,25,12
SS Iyer,2017-2025,4,4,1,221,82,73.66,143,154.54,0,2,0,19,10
Y Venugopal Rao,2008-2014,9,7,1,218,71*,36.33,173,126.01,0,2,0,15,12
RV Uthappa,2008-2018,7,7,0,208,53,29.71,170,122.35,0,1,0,17,9
RA Tripathi,2017-2024,12,11,1,205,74*,20.5,155,132.25,0,1,1,26,7
AC Gilchrist,2008-2013,9,9,0,202,61,22.44,173,116.76,0,1,0,23,6
AM Rahane,2012-2024,8,8,0,202,70,25.25,187,108.02,0,1,1,14,6
DB Ravi Teja,2008-2013,12,11,2,199,40,22.11,161,123.6,0,0,0,19,5
M Vohra,2013-2018,6,6,0,195,95,32.5,119,163.86,0,1,1,19,9
EJG Morgan,2011-2017,11,11,1,192,51,19.2,173,110.98,0,1,1,10,10
N Pooran,2019-2025,4,4,2,183,70,91.5,75,244,0,1,0,17,13
Yuvraj Singh,2008-2017,13,12,1,179,62,16.27,159,112.57,0,1,1,16,7
DA Miller,2012-2025,7,7,4,175,89*,58.33,121,144.62,0,1,0,10,10
A Symonds,2008-2011,3,3,2,173,117*,173,99,174.74,1,0,0,17,8
GH Vihari,2013-2015,9,9,2,173,46,24.71,183,94.53,0,0,0,13,0
SR Watson,2008-2019,8,8,0,172,80,21.5,162,106.17,0,1,0,14,7
AJ Finch,2011-2018,8,8,2,169,68,28.16,155,109.03,0,2,1,14,4
DJ Hooda,2016-2024,20,15,4,165,32*,15,159,103.77,0,0,0,9,3
G Gambhir,2008-2017,6,6,1,164,90*,32.8,129,127.13,0,1,0,21,2
CL White,2008-2013,12,12,1,153,65,13.9,161,95.03,0,1,1,12,4
PA Reddy,2012-2013,7,7,0,149,42,21.28,136,109.55,0,0,0,13,2
KH Pandya,2016-2024,7,6,1,148,49*,29.6,117,126.49,0,0,0,8,7
KA Pollard,2011-2019,9,8,4,147,46*,36.75,113,130.08,0,0,1,9,10
SE Marsh,2008-2016,4,3,1,146,84*,73,116,125.86,0,1,0,17,3
Abdul Samad,2023-2025,12,7,4,142,37*,47.33,109,130.27,0,0,0,9,9
