Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Unnamed: 15
,,,,,,,,,,,,,,,
MD Shanaka,2023-2023,3,3,1,26,17,13,26,100,0,0,1,2,1,
,,,,,,,,,,,,,,,
Varun Chakravarthy,2019-2025,80,13,9,26,10*,6.5,47,55.31,0,0,1,2,0,
,,,,,,,,,,,,,,,
S Chanderpaul,2008-2008,3,3,0,25,16,8.33,31,80.64,0,0,0,4,0,
,,,,,,,,,,,,,,,
A Choudhary,2017-2017,5,3,2,25,15*,25,20,125,0,0,0,1,1,
,,,,,,,,,,,,,,,
Harshit Rana,2022-2025,30,9,4,25,10*,5,35,71.42,0,0,1,3,0,
,,,,,,,,,,,,,,,
Mohsin Khan,2022-2024,24,5,2,25,13*,8.33,24,104.16,0,0,1,2,1,
,,,,,,,,,,,,,,,
Sanvir Singh,2023-2024,6,5,3,25,8*,12.5,21,119.04,0,0,1,2,1,
,,,,,,,,,,,,,,,
KC Cariappa,2015-2019,11,5,2,24,12*,8,21,114.28,0,0,0,0,2,
,,,,,,,,,,,,,,,
ER Dwivedi,2016-2016,4,2,0,24,19,12,14,171.42,0,0,0,2,2,
,,,,,,,,,,,,,,,
MA Khote,2008-2008,4,3,1,24,9,12,22,109.09,0,0,0,2,1,
,,,,,,,,,,,,,,,
Tanush Kotian,2024-2024,1,1,0,24,24,24,31,77.41,0,0,0,3,0,
,,,,,,,,,,,,,,,
AJ Turner,2019-2024,6,6,1,24,16,4.8,28,85.71,0,0,3,0,2,
,,,,,,,,,,,,,,,
J Arunkumar,2008-2008,3,3,0,23,22,7.66,23,100,0,0,1,5,0,
,,,,,,,,,,,,,,,
P Dubey,2020-2023,4,2,1,23,16,23,33,69.69,0,0,0,2,0,
,,,,,,,,,,,,,,,
BMAJ Mendis,2013-2013,3,3,0,23,12,7.66,27,85.18,0,0,1,0,0,
,,,,,,,,,,,,,,,
AF Milne,2016-2022,10,6,2,23,15,5.75,29,79.31,0,0,1,0,1,
,,,,,,,,,,,,,,,
SW Tait,2010-2013,21,5,2,23,11,7.66,26,88.46,0,0,1,1,1,
,,,,,,,,,,,,,,,
Umran Malik,2021-2024,26,6,4,23,19*,11.5,16,143.75,0,0,2,1,2,
,,,,,,,,,,,,,,,
SA Abbott,2015-2022,3,3,0,22,14,7.33,18,122.22,0,0,0,1,2,
,,,,,,,,,,,,,,,
GB Hogg,2012-2016,21,6,3,22,13,7.33,22,100,0,0,0,1,0,
,,,,,,,,,,,,,,,
KL Nagarkoti,2020-2022,12,7,3,22,8*,5.5,33,66.66,0,0,2,1,0,
,,,,,,,,,,,,,,,
AU Rashid,2021-2023,3,2,0,22,18,11,16,137.5,0,0,0,2,1,
,,,,,,,,,,,,,,,
HE van der Dussen,2022-2022,3,3,1,22,12*,11,24,91.66,0,0,0,2,0,
,,,,,,,,,,,,,,,
Yudhvir Singh,2023-2025,7,4,0,22,14,5.5,16,137.5,0,0,1,1,2,
,,,,,,,,,,,,,,,
DE Bollinger,2010-2012,27,4,3,21,16*,21,23,91.3,0,0,0,1,1,
,,,,,,,,,,,,,,,
Baba Indrajith,2022-2022,3,3,0,21,15,7,30,70,0,0,1,2,0,
,,,,,,,,,,,,,,,
Corbin Bosch,2025-2025,1,1,0,20,20,20,10,200,0,0,0,2,1,
,,,,,,,,,,,,,,,
S Kaul,2013-2022,55,12,8,20,7*,5,36,55.55,0,0,2,1,0,
,,,,,,,,,,,,,,,
NJ Maddinson,2014-2015,3,3,0,20,12,6.66,21,95.23,0,0,0,4,0,
,,,,,,,,,,,,,,,
M Muralidaran,2008-2014,66,9,3,20,6,3.33,30,66.66,0,0,2,1,0,
,,,,,,,,,,,,,,,
RR Raje,2008-2009,10,5,4,20,11*,20,18,111.11,0,0,0,1,1,
,,,,,,,,,,,,,,,
Chetan Sakariya,2021-2025,20,8,2,20,7,3.33,31,64.51,0,0,1,3,0,
,,,,,,,,,,,,,,,
AC Thomas,2011-2012,14,4,2,20,12,10,19,105.26,0,0,0,1,1,
,,,,,,,,,,,,,,,
Akash Deep,2022-2025,12,4,1,19,17,6.33,13,146.15,0,0,2,2,1,
,,,,,,,,,,,,,,,
Ravi Bishnoi,2009-2009,3,3,0,19,18,6.33,17,111.76,0,0,1,1,2,
,,,,,,,,,,,,,,,
Nathan Ellis,2021-2025,17,5,1,19,12,4.75,25,76,0,0,2,0,1,
,,,,,,,,,,,,,,,
Y Gnaneswara Rao,2011-2011,2,1,0,19,19,19,17,111.76,0,0,0,3,0,
,,,,,,,,,,,,,,,
Gulbadin Naib,2024-2024,2,1,0,19,19,19,15,126.66,0,0,0,1,1,
,,,,,,,,,,,,,,,
Josh Hazlewood,2020-2025,37,7,7,19,7*,-,29,65.51,0,0,0,1,0,
,,,,,,,,,,,,,,,
DR Martyn,2010-2010,1,1,0,19,19,19,24,79.16,0,0,0,1,0,
,,,,,,,,,,,,,,,
A Mukund,2008-2013,3,2,0,19,19,9.5,22,86.36,0,0,1,1,0,
,,,,,,,,,,,,,,,
P Ray Barman,2019-2019,1,1,0,19,19,19,24,79.16,0,0,0,2,0,
,,,,,,,,,,,,,,,
P Sahu,2016-2016,5,2,1,19,18*,19,13,146.15,0,0,0,1,1,
,,,,,,,,,,,,,,,
R Shukla,2012-2014,7,4,3,19,14,19,23,82.6,0,0,0,2,0,
,,,,,,,,,,,,,,,
T Banton,2020-2020,2,2,0,18,10,9,20,90,0,0,0,1,1,
,,,,,,,,,,,,,,,
SD Chauhan,2024-2024,3,3,0,18,9,6,15,120,0,0,1,1,1,
,,,,,,,,,,,,,,,
BJ Haddin,2011-2011,1,1,0,18,18,18,11,163.63,0,0,0,2,1,
,,,,,,,,,,,,,,,
Harmeet Singh,2009-2013,27,6,2,18,14,4.5,12,150,0,0,2,3,0,
,,,,,,,,,,,,,,,
DS Lehmann,2008-2008,2,2,0,18,17,9,18,100,0,0,0,3,0,
,,,,,,,,,,,,,,,
Naveen-ul-Haq,2023-2024,18,6,5,18,13,18,25,72,0,0,0,2,0,
,,,,,,,,,,,,,,,
KMA Paul,2019-2019,8,6,1,18,7,3.6,24,75,0,0,2,1,1,
,,,,,,,,,,,,,,,
Sumit Kumar,2024-2024,4,3,1,18,9*,9,24,75,0,0,0,2,1,
,,,,,,,,,,,,,,,
PV Tambe,2013-2016,32,6,4,18,7*,9,39,46.15,0,0,0,1,0,
,,,,,,,,,,,,,,,
JJ van der Wath,2011-2011,3,3,1,18,14*,9,16,112.5,0,0,1,1,1,
,,,,,,,,,,,,,,,
Parvez Rasool,2013-2016,11,5,3,17,10,8.5,20,85,0,0,0,1,0,
,,,,,,,,,,,,,,,
Jhyle Richardson,2021-2024,4,3,0,17,15,5.66,26,65.38,0,0,1,2,0,
,,,,,,,,,,,,,,,
YV Dhull,2023-2023,4,3,0,16,13,5.33,23,69.56,0,0,0,1,0,
,,,,,,,,,,,,,,,
AJ Hosein,2023-2023,1,1,1,16,16*,-,10,160,0,0,0,1,1,
,,,,,,,,,,,,,,,
CK Kapugedera,2008-2008,5,3,0,16,8,5.33,23,69.56,0,0,1,0,0,
,,,,,,,,,,,,,,,
Noor Ahmad,2023-2025,33,11,4,16,7*,2.28,32,50,0,0,2,2,0,
,,,,,,,,,,,,,,,
PP Ojha,2008-2015,92,23,11,16,3,1.33,45,35.55,0,0,6,0,0,
,,,,,,,,,,,,,,,
KS Sharma,2022-2023,3,3,0,16,9,5.33,25,64,0,0,0,1,0,
,,,,,,,,,,,,,,,
SD Lad,2019-2019,1,1,0,15,15,15,13,115.38,0,0,0,1,1,
,,,,,,,,,,,,,,,
C Madan,2010-2010,1,1,0,15,15,15,19,78.94,0,0,0,3,0,
,,,,,,,,,,,,,,,
VY Mahesh,2008-2012,17,5,3,15,6*,7.5,27,55.55,0,0,0,0,0,
,,,,,,,,,,,,,,,
GR Napier,2009-2009,1,1,0,15,15,15,16,93.75,0,0,0,1,0,
,,,,,,,,,,,,,,,
Jamie Overton,2025-2025,3,2,2,15,11*,-,7,214.28,0,0,0,1,1,
,,,,,,,,,,,,,,,
JL Pattinson,2020-2020,10,2,1,15,11,15,13,115.38,0,0,0,2,0,
,,,,,,,,,,,,,,,
Maheesh Theekshana,2022-2025,35,5,3,15,7*,7.5,25,60,0,0,1,0,1,
,,,,,,,,,,,,,,,
I Udana,2020-2020,10,4,1,15,10*,5,11,136.36,0,0,1,1,1,
,,,,,,,,,,,,,,,
Virat Singh,2021-2021,3,2,0,15,11,7.5,26,57.69,0,0,0,1,0,
,,,,,,,,,,,,,,,
Adam Zampa,2016-2025,22,5,0,15,7,3,24,62.5,0,0,1,1,0,
,,,,,,,,,,,,,,,
FA Allen,2021-2022,5,4,2,14,8,7,19,73.68,0,0,0,1,0,
,,,,,,,,,,,,,,,
F Behardien,2016-2016,3,3,1,14,9*,7,13,107.69,0,0,1,2,0,
,,,,,,,,,,,,,,,
G Coetzee,2024-2024,10,5,1,14,8,3.5,22,63.63,0,0,1,0,1,
,,,,,,,,,,,,,,,
MDKJ Perera,2013-2013,2,2,0,14,14,7,13,107.69,0,0,1,3,0,
,,,,,,,,,,,,,,,
Sai Kishore,2022-2025,19,3,1,14,13,7,7,200,0,0,0,0,2,
,,,,,,,,,,,,,,,
Vyshak Vijayakumar,2023-2025,12,4,2,14,13*,7,12,116.66,0,0,2,0,1,
,,,,,,,,,,,,,,,
KJ Abbott,2016-2016,5,3,2,13,12*,13,8,162.5,0,0,1,0,1,
,,,,,,,,,,,,,,,
Samuel Badree,2013-2017,12,5,0,13,8,2.6,23,56.52,0,0,2,0,0,
,,,,,,,,,,,,,,,
Kartik Tyagi,2020-2024,20,7,3,13,7,3.25,16,81.25,0,0,1,1,0,
,,,,,,,,,,,,,,,
Mustafizur Rahman,2016-2024,57,9,8,13,8*,13,23,56.52,0,0,0,0,1,
,,,,,,,,,,,,,,,
DT Patil,2008-2008,2,2,0,13,9,6.5,13,100,0,0,0,1,0,
,,,,,,,,,,,,,,,
DR Shorey,2018-2019,2,2,0,13,8,6.5,17,76.47,0,0,0,0,1,
,,,,,,,,,,,,,,,
AS Tendulkar,2023-2024,5,1,0,13,13,13,9,144.44,0,0,0,0,1,
,,,,,,,,,,,,,,,
AR Bawne,2017-2017,1,1,1,12,12*,-,12,100,0,0,0,1,0,
,,,,,,,,,,,,,,,
Jacob Bethell,2025-2025,1,1,0,12,12,12,6,200,0,0,0,1,1,
,,,,,,,,,,,,,,,
DAJ Bracewell,2012-2012,1,1,1,12,12*,-,9,133.33,0,0,0,1,0,
,,,,,,,,,,,,,,,
AA Chavan,2011-2013,13,3,1,12,7*,6,11,109.09,0,0,0,2,0,
,,,,,,,,,,,,,,,
Karanveer Singh,2014-2015,9,4,3,12,5*,12,17,70.58,0,0,0,1,0,
,,,,,,,,,,,,,,,
Mujeeb Ur Rahman,2018-2025,20,7,4,12,10*,4,15,80,0,0,2,2,0,
,,,,,,,,,,,,,,,
DG Nalkande,2022-2024,6,2,0,12,12,6,12,100,0,0,1,0,1,
,,,,,,,,,,,,,,,
T Thushara,2009-2010,6,4,2,12,8,6,18,66.66,0,0,0,0,0,
,,,,,,,,,,,,,,,
K Upadhyay,2012-2013,3,2,2,12,11*,-,9,133.33,0,0,0,0,1,
,,,,,,,,,,,,,,,
MA Wood,2018-2023,5,3,1,12,10*,6,8,150,0,0,0,1,1,
,,,,,,,,,,,,,,,
Xavier Bartlett,2025-2025,3,1,0,11,11,11,15,73.33,0,0,0,1,0,
,,,,,,,,,,,,,,,
Raj Bawa,2022-2025,3,2,0,11,11,5.5,14,78.57,0,0,1,1,0,
,,,,,,,,,,,,,,,
T Henderson,2009-2009,2,2,0,11,11,5.5,16,68.75,0,0,1,0,1,
,,,,,,,,,,,,,,,
T Kohli,2008-2009,4,4,1,11,7,3.66,19,57.89,0,0,0,0,1,
,,,,,,,,,,,,,,,
M Ntini,2008-2008,9,2,1,11,11,11,18,61.11,0,0,0,2,0,
,,,,,,,,,,,,,,,
DNT Zoysa,2008-2008,3,2,1,11,10*,11,9,122.22,0,0,0,1,0,
,,,,,,,,,,,,,,,
RK Bhui,2018-2024,4,4,0,10,7,2.5,26,38.46,0,0,2,0,0,
,,,,,,,,,,,,,,,
D du Preez,2009-2009,2,1,0,10,10,10,13,76.92,0,0,0,0,0,
,,,,,,,,,,,,,,,
Kumar Kartikeya,2022-2025,15,3,0,10,6,3.33,13,76.92,0,0,0,1,0,
,,,,,,,,,,,,,,,
Mukesh Kumar,2023-2025,30,5,4,10,6*,10,18,55.55,0,0,0,0,0,
,,,,,,,,,,,,,,,
AG Murtaza,2010-2013,12,3,2,10,5,10,14,71.42,0,0,0,1,0,
,,,,,,,,,,,,,,,
TD Paine,2011-2011,2,2,0,10,8,5,26,38.46,0,0,0,0,0,
,,,,,,,,,,,,,,,
KAJ Roach,2010-2010,2,1,0,10,10,10,9,111.11,0,0,0,1,0,
,,,,,,,,,,,,,,,
JE Root,2023-2023,3,1,0,10,10,10,15,66.66,0,0,0,1,0,
,,,,,,,,,,,,,,,
SMSM Senanayake,2013-2013,8,4,3,10,7*,10,17,58.82,0,0,0,0,0,
,,,,,,,,,,,,,,,
Simarjeet Singh,2022-2025,14,6,3,10,3*,3.33,15,66.66,0,0,2,0,0,
,,,,,,,,,,,,,,,
BB Sran,2015-2019,24,9,8,10,3*,10,14,71.42,0,0,0,0,0,
,,,,,,,,,,,,,,,
X Thalaivan Sargunam,2013-2013,1,1,0,10,10,10,17,58.82,0,0,0,0,0,
,,,,,,,,,,,,,,,
J Theron,2010-2015,10,4,2,10,7*,5,12,83.33,0,0,1,1,0,
,,,,,,,,,,,,,,,
Vaibhav Arora,2022-2025,29,9,6,9,2*,3,23,39.13,0,0,2,0,0,
,,,,,,,,,,,,,,,
Donovan Ferreira,2024-2025,3,3,0,9,7,3,14,64.28,0,0,0,0,0,
,,,,,,,,,,,,,,,
SM Harwood,2009-2009,3,2,2,9,6*,-,14,64.28,0,0,0,0,0,
,,,,,,,,,,,,,,,
AA Kulkarni,2024-2024,2,2,0,9,9,4.5,8,112.5,0,0,1,2,0,
,,,,,,,,,,,,,,,
Wiaan Mulder,2025-2025,1,1,0,9,9,9,11,81.81,0,0,0,1,0,
,,,,,,,,,,,,,,,
AA Noffke,2008-2008,1,1,0,9,9,9,10,90,0,0,0,1,0,
,,,,,,,,,,,,,,,
Prasidh Krishna,2018-2025,60,10,7,9,4*,3,24,37.5,0,0,2,0,0,
,,,,,,,,,,,,,,,
L Wood,2024-2024,2,1,1,9,9*,-,3,300,0,0,0,0,1,
,,,,,,,,,,,,,,,
P Chopra,2018-2019,2,1,0,8,8,8,6,133.33,0,0,0,2,0,
,,,,,,,,,,,,,,,
Jaskaran Singh,2009-2010,8,5,4,8,4*,8,11,72.72,0,0,0,0,0,
,,,,,,,,,,,,,,,
Spencer Johnson,2024-2025,9,5,5,8,5*,-,11,72.72,0,0,0,1,0,
,,,,,,,,,,,,,,,
CK Langeveldt,2009-2011,7,2,0,8,8,4,9,88.88,0,0,1,0,1,
,,,,,,,,,,,,,,,
OC McCoy,2022-2023,8,1,0,8,8,8,5,160,0,0,0,0,1,
,,,,,,,,,,,,,,,
CJ McKay,2012-2012,2,1,0,8,8,8,15,53.33,0,0,0,0,0,
,,,,,,,,,,,,,,,
TS Mills,2017-2022,10,5,1,8,6,2,14,57.14,0,0,2,0,1,
,,,,,,,,,,,,,,,
JPR Scantlebury-Searles,2018-2018,4,2,1,8,6*,8,6,133.33,0,0,0,0,1,
,,,,,,,,,,,,,,,
TM Srivastava,2008-2009,7,3,2,8,7,8,11,72.72,0,0,0,0,0,
,,,,,,,,,,,,,,,
Ankit Soni,2017-2017,7,3,1,7,7*,3.5,9,77.77,0,0,2,0,1,
,,,,,,,,,,,,,,,
UA Birla,2013-2013,2,1,0,7,7,7,14,50,0,0,0,1,0,
,,,,,,,,,,,,,,,
AN Ghosh,2009-2009,2,2,0,7,7,3.5,8,87.5,0,0,1,1,0,
,,,,,,,,,,,,,,,
Anshul Kamboj,2024-2025,7,4,2,7,3*,3.5,10,70,0,0,1,0,0,
,,,,,,,,,,,,,,,
I Malhotra,2011-2011,1,1,1,7,7*,-,4,175,0,0,0,1,0,
,,,,,,,,,,,,,,,
VS Malik,2009-2014,13,2,1,7,6,7,7,100,0,0,0,1,0,
,,,,,,,,,,,,,,,
Pankaj Singh,2008-2012,17,5,3,7,4*,3.5,12,58.33,0,0,1,0,0,
,,,,,,,,,,,,,,,
IS Sodhi,2018-2019,8,2,0,7,6,3.5,17,41.17,0,0,0,0,0,
,,,,,,,,,,,,,,,
Suryansh Shedge,2025-2025,5,3,0,7,4,2.33,11,63.63,0,0,0,0,0,
,,,,,,,,,,,,,,,
V Viyaskanth,2024-2024,3,1,1,7,7*,-,5,140,0,0,0,0,0,
,,,,,,,,,,,,,,,
JP Behrendorff,2019-2023,17,2,2,6,3*,-,9,66.66,0,0,0,0,0,
,,,,,,,,,,,,,,,
BA Bhatt,2011-2013,17,2,1,6,6*,6,7,85.71,0,0,1,0,1,
,,,,,,,,,,,,,,,
DM Bravo,2017-2017,1,1,1,6,6*,-,5,120,0,0,0,1,0,
,,,,,,,,,,,,,,,
PSP Handscomb,2016-2016,2,1,0,6,6,6,12,50,0,0,0,0,0,
,,,,,,,,,,,,,,,
SB Joshi,2008-2008,4,2,0,6,3,3,14,42.85,0,0,0,0,0,
,,,,,,,,,,,,,,,
Robin Minz,2025-2025,2,2,0,6,3,3,15,40,0,0,0,0,0,
,,,,,,,,,,,,,,,
Mukesh Choudhary,2022-2025,16,2,1,6,4,6,6,100,0,0,0,1,0,
,,,,,,,,,,,,,,,
SS Shaikh,2009-2009,2,1,0,6,6,6,7,85.71,0,0,0,1,0,
,,,,,,,,,,,,,,,
P Awana,2012-2014,33,7,5,5,4*,2.5,14,35.71,0,0,2,0,0,
,,,,,,,,,,,,,,,
Fazalhaq Farooqi,2022-2025,10,3,3,5,2*,-,15,33.33,0,0,0,0,0,
,,,,,,,,,,,,,,,
KMDN Kulasekara,2011-2012,5,1,1,5,5*,-,3,166.66,0,0,0,1,0,
,,,,,,,,,,,,,,,
B Laughlin,2013-2018,9,4,2,5,4*,2.5,13,38.46,0,0,2,0,0,
,,,,,,,,,,,,,,,
Shivam Sharma,2014-2015,5,2,1,5,4,5,3,166.66,0,0,0,1,0,
,,,,,,,,,,,,,,,
SJ Srivastava,2010-2011,14,4,3,5,3*,5,5,100,0,0,1,0,0,
,,,,,,,,,,,,,,,
B Stanlake,2017-2018,6,1,1,5,5*,-,2,250,0,0,0,1,0,
,,,,,,,,,,,,,,,
A Chandila,2012-2013,12,2,2,4,4*,-,7,57.14,0,0,0,0,0,
,,,,,,,,,,,,,,,
A Dananjaya,2018-2018,1,1,1,4,4*,-,5,80,0,0,0,0,0,
,,,,,,,,,,,,,,,
FH Edwards,2009-2009,6,2,1,4,3*,4,5,80,0,0,0,0,0,
,,,,,,,,,,,,,,,
CRD Fernando,2008-2010,10,2,2,4,2*,-,3,133.33,0,0,0,0,0,
,,,,,,,,,,,,,,,
Litton Das,2023-2023,1,1,0,4,4,4,4,100,0,0,0,1,0,
,,,,,,,,,,,,,,,
GD McGrath,2008-2008,14,3,2,4,4*,4,5,80,0,0,1,1,0,
,,,,,,,,,,,,,,,
Akash Madhwal,2023-2024,13,1,1,4,4*,-,5,80,0,0,0,0,0,
,,,,,,,,,,,,,,,
DP Nannes,2009-2013,29,3,2,4,3,4,13,30.76,0,0,0,0,0,
,,,,,,,,,,,,,,,
Prince Yadav,2025-2025,5,1,1,4,4*,-,9,44.44,0,0,0,0,0,
,,,,,,,,,,,,,,,
VRV Singh,2008-2010,19,2,0,4,4,2,3,133.33,0,0,1,1,0,
,,,,,,,,,,,,,,,
RS Sodhi,2010-2010,3,1,1,4,4*,-,2,200,0,0,0,1,0,
,,,,,,,,,,,,,,,
A Tomar,2022-2022,1,1,0,4,4,4,8,50,0,0,0,1,0,
,,,,,,,,,,,,,,,
A Uniyal,2010-2010,2,2,1,4,4*,4,7,57.14,0,0,1,0,0,
,,,,,,,,,,,,,,,
D Kalyankrishna,2008-2008,3,1,0,3,3,3,8,37.5,0,0,0,0,0,
,,,,,,,,,,,,,,,
Kamran Khan,2009-2011,9,2,1,3,3,3,5,60,0,0,0,0,0,
,,,,,,,,,,,,,,,
K Kushagra,2024-2024,4,3,0,3,2,1,7,42.85,0,0,1,0,0,
,,,,,,,,,,,,,,,
BAW Mendis,2008-2013,10,3,1,3,2,1.5,6,50,0,0,1,0,0,
,,,,,,,,,,,,,,,
Mohammad Asif,2008-2008,8,2,0,3,3,1.5,6,50,0,0,1,0,0,
,,,,,,,,,,,,,,,
T Natarajan,2017-2024,61,4,4,3,3*,-,5,60,0,0,0,0,0,
,,,,,,,,,,,,,,,
R Ninan,2011-2011,2,1,0,3,3,3,6,50,0,0,0,0,0,
,,,,,,,,,,,,,,,
JE Taylor,2011-2011,5,2,1,3,2,3,3,100,0,0,0,0,0,
,,,,,,,,,,,,,,,
RJW Topley,2023-2024,5,1,1,3,3*,-,6,50,0,0,0,0,0,
,,,,,,,,,,,,,,,
S Tyagi,2009-2010,14,3,2,3,3*,3,4,75,0,0,1,0,0,
,,,,,,,,,,,,,,,
GC Viljoen,2019-2019,6,3,1,3,2*,1.5,7,42.85,0,0,1,0,0,
,,,,,,,,,,,,,,,
Younis Khan,2008-2008,1,1,0,3,3,3,7,42.85,0,0,0,0,0,
,,,,,,,,,,,,,,,
Khaleel Ahmed,2018-2025,67,7,2,2,1*,0.4,9,22.22,0,0,4,0,0,
,,,,,,,,,,,,,,,
KP Appanna,2009-2012,13,3,2,2,1*,2,4,50,0,0,0,0,0,
,,,,,,,,,,,,,,,
H Das,2008-2008,1,1,0,2,2,2,5,40,0,0,0,0,0,
,,,,,,,,,,,,,,,
GHS Garton,2021-2021,5,3,2,2,2*,2,4,50,0,0,1,0,0,
,,,,,,,,,,,,,,,
RS Gavaskar,2010-2010,2,1,0,2,2,2,8,25,0,0,0,0,0,
,,,,,,,,,,,,,,,
RJ Gleeson,2024-2024,2,1,1,2,2*,-,2,100,0,0,0,0,0,
,,,,,,,,,,,,,,,
S Randiv,2011-2011,8,1,0,2,2,2,4,50,0,0,0,0,0,
,,,,,,,,,,,,,,,
Mashrafe Mortaza,2009-2009,1,1,1,2,2*,-,2,100,0,0,0,0,0,
,,,,,,,,,,,,,,,
Mohammad Ashraful,2009-2009,1,1,0,2,2,2,10,20,0,0,0,0,0,
,,,,,,,,,,,,,,,
RG More,2015-2015,2,1,1,2,2*,-,2,100,0,0,0,0,0,
,,,,,,,,,,,,,,,
T Shamsi,2016-2021,5,1,1,2,2*,-,4,50,0,0,0,0,0,
,,,,,,,,,,,,,,,
BR Sharath,2024-2024,1,1,0,2,2,2,5,40,0,0,0,0,0,
,,,,,,,,,,,,,,,
Shivam Singh,2024-2024,1,1,1,2,2*,-,3,66.66,0,0,0,0,0,
,,,,,,,,,,,,,,,
Shoaib Akhtar,2008-2008,3,1,0,2,2,2,7,28.57,0,0,0,0,0,
,,,,,,,,,,,,,,,
Arshdeep Singh,2009-2012,23,5,1,2,1*,0.5,10,20,0,0,3,0,0,
,,,,,,,,,,,,,,,
SB Wagh,2010-2011,8,2,0,2,2,1,3,66.66,0,0,1,0,0,
,,,,,,,,,,,,,,,
VS Yeligati,2008-2008,2,1,0,2,2,2,2,100,0,0,0,0,0,
,,,,,,,,,,,,,,,
Abdul Basith,2023-2023,1,1,1,1,1*,-,1,100,0,0,0,0,0,
,,,,,,,,,,,,,,,
Manoj Bhandage,2025-2025,1,1,0,1,1,1,4,25,0,0,0,0,0,
,,,,,,,,,,,,,,,
SE Bond,2010-2010,8,1,0,1,1,1,2,50,0,0,0,0,0,
,,,,,,,,,,,,,,,
M de Lange,2012-2015,5,1,0,1,1,1,2,50,0,0,0,0,0,
,,,,,,,,,,,,,,,
HF Gurney,2019-2019,8,1,1,1,1*,-,5,20,0,0,0,0,0,
,,,,,,,,,,,,,,,
BE Hendricks,2014-2015,7,3,2,1,1*,1,3,33.33,0,0,1,0,0,
,,,,,,,,,,,,,,,
Kesvah Maharaj,2024-2024,2,1,0,1,1,1,2,50,0,0,0,0,0,
,,,,,,,,,,,,,,,
Mohit Rathee,2023-2023,1,1,1,1,1*,-,2,50,0,0,0,0,0,
,,,,,,,,,,,,,,,
SZ Mulani,2024-2024,2,1,1,1,1*,-,1,100,0,0,0,0,0,
,,,,,,,,,,,,,,,
DJ Muthuswami,2015-2015,6,2,1,1,1,1,3,33.33,0,0,0,0,0,
,,,,,,,,,,,,,,,
P Parameswaran,2011-2012,8,2,2,1,1*,-,2,50,0,0,0,0,0,
,,,,,,,,,,,,,,,
LE Plunkett,2018-2018,7,2,1,1,1*,1,3,33.33,0,0,1,0,0,
,,,,,,,,,,,,,,,
Satyanarayana Raju,2025-2025,2,1,1,1,1*,-,1,100,0,0,0,0,0,
,,,,,,,,,,,,,,,
Digvesh Rathi,2025-2025,10,2,1,1,1,1,3,33.33,0,0,0,0,0,
,,,,,,,,,,,,,,,
NJ Rimmington,2011-2011,1,1,1,1,1*,-,1,100,0,0,0,0,0,
,,,,,,,,,,,,,,,
PM Sarvesh Kumar,2008-2008,2,1,1,1,1*,-,2,50,0,0,0,0,0,
,,,,,,,,,,,,,,,
Shoaib Ahmed,2009-2009,8,3,1,1,1*,0.5,6,16.66,0,0,2,0,0,
,,,,,,,,,,,,,,,
MJ Suthar,2024-2024,1,1,0,1,1,1,2,50,0,0,0,0,0,
,,,,,,,,,,,,,,,
DP Vijaykumar,2008-2008,9,2,2,1,1*,-,1,100,0,0,0,0,0,
,,,,,,,,,,,,,,,
LB Williams,2024-2024,2,1,1,1,1*,-,2,50,0,0,0,0,0,
,,,,,,,,,,,,,,,
S Ladda,2010-2016,9,2,1,0,0*,0,9,0,0,0,1,0,0,
,,,,,,,,,,,,,,,
YA Abdulla,2009-2010,11,1,1,0,0*,-,1,0,0,0,0,0,0,
,,,,,,,,,,,,,,,
Abdur Razzak,2008-2008,1,1,1,0,0*,-,2,0,0,0,0,0,0,
,,,,,,,,,,,,,,,
L Ablish,2010-2011,3,1,1,0,0*,-,2,0,0,0,0,0,0,
,,,,,,,,,,,,,,,
KM Asif,2018-2023,7,1,0,0,0,0,2,0,0,0,1,0,0,
,,,,,,,,,,,,,,,
RR Bhatkal,2012-2012,1,1,0,0,0,0,2,0,0,0,1,0,0,
,,,,,,,,,,,,,,,
SS Cottrell,2020-2020,6,1,0,0,0,0,2,0,0,0,1,0,0,
,,,,,,,,,,,,,,,
MJ Dagar,2023-2024,8,1,0,0,0,0,1,0,0,0,1,0,0,
,,,,,,,,,,,,,,,
JL Denly,2019-2019,1,1,0,0,0,0,1,0,0,0,1,0,0,
,,,,,,,,,,,,,,,
ND Doshi,2010-2011,4,1,0,0,0,0,13,0,0,0,1,0,0,
,,,,,,,,,,,,,,,
C Ganapathy,2010-2010,1,1,1,0,0*,-,0,-,0,0,0,0,0,
,,,,,,,,,,,,,,,
Sunny Gupta,2012-2012,1,1,0,0,0,0,1,0,0,0,1,0,0,
,,,,,,,,,,,,,,,
BW Hilfenhaus,2012-2014,17,1,1,0,0*,-,0,-,0,0,0,0,0,
,,,,,,,,,,,,,,,
U Kaul,2008-2008,5,1,1,0,0*,-,1,0,0,0,0,0,0,
,,,,,,,,,,,,,,,
S Kaushik,2016-2017,10,2,1,0,0*,0,1,0,0,0,1,0,0,
,,,,,,,,,,,,,,,
S Lamichhane,2018-2019,9,1,0,0,0,0,1,0,0,0,1,0,0,
,,,,,,,,,,,,,,,
RP Meredith,2021-2023,18,3,3,0,0*,-,3,0,0,0,0,0,0,
,,,,,,,,,,,,,,,
