Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Unnamed: 14
,,,,,,,,,,,,,,
RR Pant,2016-2025,121,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
NK Patel,2008-2009,9,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
PA Patel,2008-2019,139,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
RM Patidar,2021-2025,37,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
DT Patil,2008-2008,2,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
AG Paunikar,2010-2011,5,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
RV Pawar,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
MDKJ Perera,2013-2013,2,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
JR Philippe,2020-2020,5,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
LA Pomersbach,2008-2013,17,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
RT Ponting,2008-2013,10,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
N Pooran,2019-2025,85,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
Prabhsimran Singh,2019-2025,44,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
SS Prabhudessai,2022-2024,11,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
CA Pujara,2010-2014,30,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
RJ Quiney,2009-2009,7,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
A Raghuvanshi,2024-2025,19,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
Rahmanullah Gurbaz,2023-2025,16,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
KL Rahul,2013-2025,141,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
PBB Rajapaksa,2022-2023,13,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
SK Rasheed,2025-2025,4,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
M Rawat,2008-2013,18,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
Ambati Rayudu,2010-2023,204,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
PA Reddy,2012-2013,12,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
RD Rickelton,2025-2025,10,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
L Ronchi,2008-2009,5,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
RR Rossouw,2014-2024,22,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
JJ Roy,2017-2023,21,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
WP Saha,2008-2024,169,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
N Saini,2012-2012,10,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
B Sai Sudharsan,2022-2025,34,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
Salman Butt,2008-2008,7,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
PD Salt,2023-2025,30,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
BB Samantray,2012-2013,9,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
Sameer Rizvi,2024-2025,10,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
Sanju Samson,2013-2025,174,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
KC Sangakkara,2008-2013,71,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
Sanvir Singh,2023-2024,6,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
RR Sarwan,2008-2008,4,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
TL Seifert,2021-2022,3,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
OA Shah,2010-2013,23,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
PR Shah,2008-2011,16,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
SS Shaikh,2009-2009,2,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
MD Shanaka,2023-2023,3,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
BR Sharath,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
AR Sharma,2024-2025,20,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
JM Sharma,2022-2025,50,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
KS Sharma,2022-2023,2,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
PP Shaw,2018-2024,79,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
Shivam Singh,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
DR Shorey,2018-2019,2,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
Shubman Gill,2018-2025,112,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
RK Singh,2018-2025,55,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
GC Smith,2008-2011,29,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
RS Sodhi,2010-2010,3,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
S Sohal,2008-2011,22,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
TM Srivastava,2008-2009,7,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
B Sumanth,2010-2010,5,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
Sunny Singh,2011-2011,6,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
V Suryavanshi,2025-2025,3,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
T Taibu,2008-2008,3,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
YV Takawale,2008-2014,16,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
AP Tare,2010-2017,35,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
X Thalaivan Sargunam,2013-2013,1,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
SS Tiwary,2008-2021,92,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
A Tomar,2022-2022,1,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
AJ Turner,2019-2024,6,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
RV Uthappa,2008-2022,205,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
HE van der Dussen,2022-2022,3,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
MN van Wyk,2009-2009,5,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
AU Verma,2025-2025,9,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
Virat Singh,2021-2021,3,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
Vishnu Vinod,2017-2023,6,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
M Vohra,2013-2022,55,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
MS Wade,2011-2024,14,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
AS Yadav,2008-2008,8,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
DH Yagnik,2011-2014,25,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
Yashpal Singh,2009-2009,8,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
Younis Khan,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,
VH Zol,2014-2014,3,-,-,-,-,-,-,-,-,-,-,-,
