Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,
C Ganapathy,2010-2010,1,1,1.0,0,13,0,-,-,13.00,-,0,0,
(Chennai Super Kings),,,,,,,,,,,,,,
RS Gavaskar,2010-2010,2,1,1.0,0,8,0,-,-,8.00,-,0,0,
(Kolkata Knight Riders),,,,,,,,,,,,,,
Y Gnaneswara Rao,2011-2011,2,1,1.0,0,7,0,-,-,7.00,-,0,0,
(Kochi Tuskers Kerala),,,,,,,,,,,,,,
K Goel,2008-2010,22,6,11.0,0,93,0,-,-,8.45,-,0,0,
(Kings XI Punjab),,,,,,,,,,,,,,
R Goyal,2023-2023,1,1,4.0,0,33,0,-,-,8.25,-,0,0,
(Mumbai Indians),,,,,,,,,,,,,,
CJ Green,2020-2020,1,1,2.5,0,24,0,-,-,8.47,-,0,0,
(Kolkata Knight Riders),,,,,,,,,,,,,,
Gulbadin Naib,2024-2024,2,1,1.0,0,12,0,-,-,12.00,-,0,0,
(Delhi Capitals),,,,,,,,,,,,,,
Sunny Gupta,2012-2012,1,1,3.0,0,47,0,-,-,15.66,-,0,0,
(Delhi Daredevils),,,,,,,,,,,,,,
Gurnoor Brar,2023-2023,1,1,3.0,0,42,0,-,-,14.00,-,0,0,
(Punjab Kings),,,,,,,,,,,,,,
DJ Harris,2012-2012,4,2,3.0,0,26,0,-,-,8.66,-,0,0,
(Deccan Chargers),,,,,,,,,,,,,,
Ishan Kishan,2016-2025,114,1,0.1,0,4,0,-,-,24.00,-,0,0,
"(Gujarat Lions, Mumbai Indians, Sunrisers Hyderabad)",,,,,,,,,,,,,,
SS Iyer,2015-2025,125,1,1.0,0,7,0,-,-,7.00,-,0,0,
"(Delhi Capitals, Delhi Daredevils, Kolkata Knight Riders, Punjab Kings)",,,,,,,,,,,,,,
YBK Jaiswal,2020-2025,62,1,0.1,0,6,0,-,-,36.00,-,0,0,
(Rajasthan Royals),,,,,,,,,,,,,,
S Joseph,2024-2024,1,1,4.0,0,47,0,-,-,11.75,-,0,0,
(Lucknow Super Giants),,,,,,,,,,,,,,
CK Kapugedera,2008-2008,5,3,2.5,0,49,0,-,-,17.29,-,0,0,
(Chennai Super Kings),,,,,,,,,,,,,,
Karim Janat,2025-2025,1,1,1.0,0,30,0,-,-,30.00,-,0,0,
(Gujarat Titans),,,,,,,,,,,,,,
AA Kazi,2011-2011,1,1,2.0,0,21,0,-,-,10.50,-,0,0,
(Royal Challengers Bangalore),,,,,,,,,,,,,,
SN Khan,2015-2023,49,1,0.2,0,6,0,-,-,18.00,-,0,0,
"(Delhi Capitals, Kings XI Punjab, Punjab Kings, Royal Challengers Bangalore)",,,,,,,,,,,,,,
NL McCullum,2011-2011,2,2,5.0,0,34,0,-,-,6.80,-,0,0,
(Pune Warriors),,,,,,,,,,,,,,
I Malhotra,2011-2011,1,1,1.0,0,23,0,-,-,23.00,-,0,0,
(Deccan Chargers),,,,,,,,,,,,,,
Mandeep Singh,2010-2023,110,2,2.0,0,26,0,-,-,13.00,-,0,0,
"(Delhi Capitals, Kings XI Punjab, Kolkata Knight Riders, Punjab Kings, Royal Challengers Bangalore)",,,,,,,,,,,,,,
M Manhas,2008-2014,55,3,7.0,0,42,0,-,-,6.00,-,0,0,
"(Chennai Super Kings, Delhi Daredevils, Pune Warriors)",,,,,,,,,,,,,,
Mashrafe Mortaza,2009-2009,1,1,4.0,0,58,0,-,-,14.50,-,0,0,
(Kolkata Knight Riders),,,,,,,,,,,,,,
KR Mayers,2023-2023,12,6,7.0,0,59,0,-,-,8.42,-,0,0,
(Lucknow Super Giants),,,,,,,,,,,,,,
S Midhun,2019-2019,1,1,2.0,0,27,0,-,-,13.50,-,0,0,
(Rajasthan Royals),,,,,,,,,,,,,,
Mohit Rathee,2023-2023,1,1,2.0,0,29,0,-,-,14.50,-,0,0,
(Punjab Kings),,,,,,,,,,,,,,
Monu Kumar,2020-2020,1,1,2.0,0,20,0,-,-,10.00,-,0,0,
(Chennai Super Kings),,,,,,,,,,,,,,
SZ Mulani,2024-2024,2,2,5.0,0,57,0,-,-,11.40,-,0,0,
(Mumbai Indians),,,,,,,,,,,,,,
PWA Mulder,2025-2025,1,1,1.0,0,16,0,-,-,16.00,-,0,0,
(Sunrisers Hyderabad),,,,,,,,,,,,,,
C Munro,2016-2019,13,2,2.0,0,15,0,-,-,7.50,-,0,0,
"(Delhi Capitals, Delhi Daredevils, Kolkata Knight Riders)",,,,,,,,,,,,,,
Naman Dhir,2024-2025,17,4,7.4,0,67,0,-,-,8.73,-,0,0,
(Mumbai Indians),,,,,,,,,,,,,,
MG Neser,2013-2013,1,1,4.0,0,62,0,-,-,15.50,-,0,0,
(Kings XI Punjab),,,,,,,,,,,,,,
J Overton,2025-2025,3,3,6.0,0,83,0,-,-,13.83,-,0,0,
(Chennai Super Kings),,,,,,,,,,,,,,
MB Parmar,2010-2010,1,1,3.0,0,33,0,-,-,11.00,-,0,0,
(Kolkata Knight Riders),,,,,,,,,,,,,,
RV Patel,2021-2023,9,1,3.0,0,22,0,-,-,7.33,-,0,0,
(Delhi Capitals),,,,,,,,,,,,,,
AUK Pathan,2011-2012,8,3,6.3,0,63,0,-,-,9.69,-,0,0,
(Royal Challengers Bangalore),,,,,,,,,,,,,,
P Prasanth,2011-2011,1,1,1.0,0,18,0,-,-,18.00,-,0,0,
(Kochi Tuskers Kerala),,,,,,,,,,,,,,
RW Price,2011-2011,1,1,3.0,0,33,0,-,-,11.00,-,0,0,
(Mumbai Indians),,,,,,,,,,,,,,
S Rana,2011-2014,11,3,2.4,0,18,0,-,-,6.75,-,0,0,
"(Pune Warriors, Royal Challengers Bangalore)",,,,,,,,,,,,,,
AS Raut,2009-2011,22,5,5.0,0,44,0,-,-,8.80,-,0,0,
(Rajasthan Royals),,,,,,,,,,,,,,
R Ravindra,2024-2025,18,2,2.0,0,7,0,-,-,3.50,-,0,0,
(Chennai Super Kings),,,,,,,,,,,,,,
P Ray Barman,2019-2019,1,1,4.0,0,56,0,-,-,14.00,-,0,0,
(Royal Challengers Bangalore),,,,,,,,,,,,,,
NJ Rimmington,2011-2011,1,1,3.0,0,19,0,-,-,6.33,-,0,0,
(Kings XI Punjab),,,,,,,,,,,,,,
KAJ Roach,2010-2010,2,2,8.0,0,80,0,-,-,10.00,-,0,0,
(Deccan Chargers),,,,,,,,,,,,,,
BJ Rohrer,2013-2013,8,1,1.0,0,12,0,-,-,12.00,-,0,0,
(Delhi Daredevils),,,,,,,,,,,,,,
JE Root,2023-2023,3,1,2.0,0,14,0,-,-,7.00,-,0,0,
(Rajasthan Royals),,,,,,,,,,,,,,
R Sanjay Yadav,2022-2022,1,1,2.0,0,23,0,-,-,11.50,-,0,0,
(Mumbai Indians),,,,,,,,,,,,,,
Jalaj S Saxena,2021-2021,1,1,3.0,0,27,0,-,-,9.00,-,0,0,
(Punjab Kings),,,,,,,,,,,,,,
M Shahrukh Khan,2021-2025,49,2,2.0,0,15,0,-,-,7.50,-,0,0,
"(Gujarat Titans, Punjab Kings)",,,,,,,,,,,,,,
RA Shaikh,2009-2009,1,1,1.0,0,11,0,-,-,11.00,-,0,0,
(Mumbai Indians),,,,,,,,,,,,,,
H Sharma,2023-2024,2,2,5.0,0,57,0,-,-,11.40,-,0,0,
"(Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
MW Short,2023-2023,6,3,4.0,0,25,0,-,-,6.25,-,0,0,
(Punjab Kings),,,,,,,,,,,,,,
LPC Silva,2008-2008,3,1,1.0,0,21,0,-,-,21.00,-,0,0,
(Deccan Chargers),,,,,,,,,,,,,,
SPD Smith,2012-2021,103,1,0.2,0,5,0,-,-,15.00,-,0,0,
"(Delhi Capitals, Pune Warriors, Rajasthan Royals, Rising Pune Supergiant, Rising Pune Supergiants)",,,,,,,,,,,,,,
S Sriram,2010-2011,2,2,3.0,0,49,0,-,-,16.33,-,0,0,
"(Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,
Sumit Kumar,2024-2024,4,2,3.2,0,38,0,-,-,11.40,-,0,0,
(Delhi Capitals),,,,,,,,,,,,,,
Suryansh Shedge,2025-2025,5,1,3.0,0,40,0,-,-,13.33,-,0,0,
(Punjab Kings),,,,,,,,,,,,,,
MJ Suthar,2024-2024,1,1,2.0,0,26,0,-,-,13.00,-,0,0,
(Gujarat Titans),,,,,,,,,,,,,,
A Taide,2023-2024,9,1,0.1,0,4,0,-,-,24.00,-,0,0,
(Punjab Kings),,,,,,,,,,,,,,
LRPL Taylor,2008-2014,55,2,2.0,0,24,0,-,-,12.00,-,0,0,
"(Delhi Daredevils, Pune Warriors, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,
Tejas Baroka,2017-2017,1,1,3.3,0,33,0,-,-,9.42,-,0,0,
(Gujarat Lions),,,,,,,,,,,,,,
SR Tendulkar,2008-2013,78,4,6.0,0,58,0,-,-,9.66,-,0,0,
(Mumbai Indians),,,,,,,,,,,,,,
NT Tilak Varma,2022-2025,48,4,3.4,0,28,0,-,-,7.63,-,0,0,
(Mumbai Indians),,,,,,,,,,,,,,
RA Tripathi,2017-2025,100,1,1.0,0,12,0,-,-,12.00,-,0,0,
"(Chennai Super Kings, Kolkata Knight Riders, Rajasthan Royals, Rising Pune Supergiant, Sunrisers Hyderabad)",,,,,,,,,,,,,,
K Upadhyay,2012-2013,3,3,9.0,0,81,0,-,-,9.00,-,0,0,
(Pune Warriors),,,,,,,,,,,,,,
M Vijay,2009-2020,106,4,6.0,0,49,0,-,-,8.16,-,0,0,
"(Chennai Super Kings, Delhi Daredevils, Kings XI Punjab)",,,,,,,,,,,,,,
Vivrant Sharma,2023-2023,3,2,3.0,0,37,0,-,-,12.33,-,0,0,
(Sunrisers Hyderabad),,,,,,,,,,,,,,
AC Voges,2010-2010,9,7,9.0,0,76,0,-,-,8.44,-,0,0,
(Rajasthan Royals),,,,,,,,,,,,,,
N Wadhera,2023-2025,29,2,2.5,0,22,0,-,-,7.76,-,0,0,
"(Mumbai Indians, Punjab Kings)",,,,,,,,,,,,,,
DA Warner,2009-2024,183,1,0.1,0,2,0,-,-,12.00,-,0,0,
"(Delhi Capitals, Delhi Daredevils, Sunrisers Hyderabad)",,,,,,,,,,,,,,
KS Williamson,2015-2024,79,2,3.0,0,31,0,-,-,10.33,-,0,0,
"(Gujarat Titans, Sunrisers Hyderabad)",,,,,,,,,,,,,,
SA Yadav,2012-2025,160,1,1.0,0,8,0,-,-,8.00,-,0,0,
"(Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,
VS Yeligati,2008-2008,2,2,5.0,0,59,0,-,-,11.80,-,0,0,
(Mumbai Indians),,,,,,,,,,,,,,
AR Bawne,2017-2017,1,-,-,-,-,-,-,-,-,-,-,-,
(Delhi Daredevils),,,,,,,,,,,,,,
Abdul Basith,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,
(Rajasthan Royals),,,,,,,,,,,,,,
Abishek Porel,2023-2025,28,-,-,-,-,-,-,-,-,-,-,-,
(Delhi Capitals),,,,,,,,,,,,,,
AD Nath,2016-2019,14,-,-,-,-,-,-,-,-,-,-,-,
"(Gujarat Lions, Kings XI Punjab, Royal Challengers Bangalore)",,,,,,,,,,,,,,
MA Agarwal,2011-2024,126,-,-,-,-,-,-,-,-,-,-,-,
"(Delhi Daredevils, Kings XI Punjab, Punjab Kings, Rising Pune Supergiant, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,
HM Amla,2016-2017,16,-,-,-,-,-,-,-,-,-,-,-,
(Kings XI Punjab),,,,,,,,,,,,,,
S Anirudha,2008-2014,20,-,-,-,-,-,-,-,-,-,-,-,
"(Chennai Super Kings, Sunrisers Hyderabad)",,,,,,,,,,,,,,
Anirudh Singh,2010-2010,5,-,-,-,-,-,-,-,-,-,-,-,
(Deccan Chargers),,,,,,,,,,,,,,
Anmolpreet Singh,2021-2024,9,-,-,-,-,-,-,-,-,-,-,-,
"(Mumbai Indians, Sunrisers Hyderabad)",,,,,,,,,,,,,,
Anuj Rawat,2021-2024,24,-,-,-,-,-,-,-,-,-,-,-,
"(Rajasthan Royals, Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
KB Arun Karthik,2010-2013,17,-,-,-,-,-,-,-,-,-,-,-,
"(Chennai Super Kings, Royal Challengers Bangalore)",,,,,,,,,,,,,,
J Arunkumar,2008-2008,3,-,-,-,-,-,-,-,-,-,-,-,
(Royal Challengers Bangalore),,,,,,,,,,,,,,
P Arya,2025-2025,10,-,-,-,-,-,-,-,-,-,-,-,
(Punjab Kings),,,,,,,,,,,,,,
SA Asnodkar,2008-2011,20,-,-,-,-,-,-,-,-,-,-,-,
(Rajasthan Royals),,,,,,,,,,,,,,
S Badrinath,2008-2013,94,-,-,-,-,-,-,-,-,-,-,-,
(Chennai Super Kings),,,,,,,,,,,,,,
GJ Bailey,2009-2016,40,-,-,-,-,-,-,-,-,-,-,-,
"(Chennai Super Kings, Kings XI Punjab, Rising Pune Supergiants)",,,,,,,,,,,,,,
JM Bairstow,2019-2024,50,-,-,-,-,-,-,-,-,-,-,-,
"(Punjab Kings, Sunrisers Hyderabad)",,,,,,,,,,,,,,
T Banton,2020-2020,2,-,-,-,-,-,-,-,-,-,-,-,
(Kolkata Knight Riders),,,,,,,,,,,,,,
AB Barath,2010-2010,3,-,-,-,-,-,-,-,-,-,-,-,
(Kings XI Punjab),,,,,,,,,,,,,,
RA Bawa,2022-2025,3,-,-,-,-,-,-,-,-,-,-,-,
"(Mumbai Indians, Punjab Kings)",,,,,,,,,,,,,,
F Behardien,2016-2016,3,-,-,-,-,-,-,-,-,-,-,-,
(Kings XI Punjab),,,,,,,,,,,,,,
JG Bethell,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,
(Royal Challengers Bengaluru),,,,,,,,,,,,,,
MS Bhandage,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,
(Royal Challengers Bengaluru),,,,,,,,,,,,,,
KS Bharat,2021-2022,10,-,-,-,-,-,-,-,-,-,-,-,
"(Delhi Capitals, Royal Challengers Bangalore)",,,,,,,,,,,,,,
RK Bhui,2018-2024,4,-,-,-,-,-,-,-,-,-,-,-,
"(Delhi Capitals, Sunrisers Hyderabad)",,,,,,,,,,,,,,
AA Bilakhia,2009-2010,7,-,-,-,-,-,-,-,-,-,-,-,
(Deccan Chargers),,,,,,,,,,,,,,
SW Billings,2016-2022,30,-,-,-,-,-,-,-,-,-,-,-,
"(Chennai Super Kings, Delhi Daredevils, Kolkata Knight Riders)",,,,,,,,,,,,,,
UA Birla,2013-2013,2,-,-,-,-,-,-,-,-,-,-,-,
(Pune Warriors),,,,,,,,,,,,,,
TR Birt,2011-2011,5,-,-,-,-,-,-,-,-,-,-,-,
(Delhi Daredevils),,,,,,,,,,,,,,
R Bishnoi,2009-2009,3,-,-,-,-,-,-,-,-,-,-,-,
(Royal Challengers Bangalore),,,,,,,,,,,,,,
MS Bisla,2010-2015,39,-,-,-,-,-,-,-,-,-,-,-,
"(Kings XI Punjab, Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,
AC Blizzard,2011-2012,7,-,-,-,-,-,-,-,-,-,-,-,
(Mumbai Indians),,,,,,,,,,,,,,
MV Boucher,2008-2011,31,-,-,-,-,-,-,-,-,-,-,-,
"(Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,
DM Bravo,2017-2017,1,-,-,-,-,-,-,-,-,-,-,-,
(Kolkata Knight Riders),,,,,,,,,,,,,,
HC Brook,2023-2023,11,-,-,-,-,-,-,-,-,-,-,-,
(Sunrisers Hyderabad),,,,,,,,,,,,,,
JC Buttler,2016-2025,116,-,-,-,-,-,-,-,-,-,-,-,
"(Gujarat Titans, Mumbai Indians, Rajasthan Royals)",,,,,,,,,,,,,,
AT Carey,2020-2020,3,-,-,-,-,-,-,-,-,-,-,-,
(Delhi Capitals),,,,,,,,,,,,,,
UBT Chand,2011-2016,21,-,-,-,-,-,-,-,-,-,-,-,
"(Delhi Daredevils, Mumbai Indians, Rajasthan Royals)",,,,,,,,,,,,,,
S Chanderpaul,2008-2008,3,-,-,-,-,-,-,-,-,-,-,-,
(Royal Challengers Bangalore),,,,,,,,,,,,,,
SD Chauhan,2024-2024,3,-,-,-,-,-,-,-,-,-,-,-,
(Royal Challengers Bengaluru),,,,,,,,,,,,,,
A Chopra,2008-2009,7,-,-,-,-,-,-,-,-,-,-,-,
(Kolkata Knight Riders),,,,,,,,,,,,,,
P Chopra,2018-2019,2,-,-,-,-,-,-,-,-,-,-,-,
(Rajasthan Royals),,,,,,,,,,,,,,
DP Conway,2022-2025,26,-,-,-,-,-,-,-,-,-,-,-,
(Chennai Super Kings),,,,,,,,,,,,,,
DB Das,2008-2013,31,-,-,-,-,-,-,-,-,-,-,-,
(Kolkata Knight Riders),,,,,,,,,,,,,,
H Das,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,
(Deccan Chargers),,,,,,,,,,,,,,
TH David,2021-2025,48,-,-,-,-,-,-,-,-,-,-,-,
"(Mumbai Indians, Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
Q de Kock,2013-2025,114,-,-,-,-,-,-,-,-,-,-,-,
"(Delhi Daredevils, Kolkata Knight Riders, Lucknow Super Giants, Mumbai Indians, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,
JL Denly,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,
(Kolkata Knight Riders),,,,,,,,,,,,,,
KH Devdhar,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,
(Deccan Chargers),,,,,,,,,,,,,,
AB de Villiers,2008-2021,182,-,-,-,-,-,-,-,-,-,-,-,
"(Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,
P Dharmani,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,
(Kings XI Punjab),,,,,,,,,,,,,,
MS Dhoni,2008-2025,273,-,-,-,-,-,-,-,-,-,-,-,
"(Chennai Super Kings, Rising Pune Supergiant, Rising Pune Supergiants)",,,,,,,,,,,,,,
YV Dhull,2023-2023,4,-,-,-,-,-,-,-,-,-,-,-,
(Delhi Capitals),,,,,,,,,,,,,,
P Dogra,2010-2013,13,-,-,-,-,-,-,-,-,-,-,-,
"(Kings XI Punjab, Kolkata Knight Riders, Rajasthan Royals)",,,,,,,,,,,,,,
R Dravid,2008-2013,89,-,-,-,-,-,-,-,-,-,-,-,
"(Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,
SB Dubey,2024-2025,10,-,-,-,-,-,-,-,-,-,-,-,
(Rajasthan Royals),,,,,,,,,,,,,,
BR Dunk,2014-2014,3,-,-,-,-,-,-,-,-,-,-,-,
(Mumbai Indians),,,,,,,,,,,,,,
ER Dwivedi,2016-2016,4,-,-,-,-,-,-,-,-,-,-,-,
(Gujarat Lions),,,,,,,,,,,,,,
CJ Ferguson,2011-2012,9,-,-,-,-,-,-,-,-,-,-,-,
(Pune Warriors),,,,,,,,,,,,,,
D Ferreira,2024-2025,3,-,-,-,-,-,-,-,-,-,-,-,
"(Delhi Capitals, Rajasthan Royals)",,,,,,,,,,,,,,
SP Fleming,2008-2008,10,-,-,-,-,-,-,-,-,-,-,-,
(Chennai Super Kings),,,,,,,,,,,,,,
J Fraser-McGurk,2024-2025,15,-,-,-,-,-,-,-,-,-,-,-,
(Delhi Capitals),,,,,,,,,,,,,,
RD Gaikwad,2020-2025,71,-,-,-,-,-,-,-,-,-,-,-,
(Chennai Super Kings),,,,,,,,,,,,,,
G Gambhir,2008-2018,154,-,-,-,-,-,-,-,-,-,-,-,
"(Delhi Daredevils, Kolkata Knight Riders)",,,,,,,,,,,,,,
PK Garg,2020-2023,23,-,-,-,-,-,-,-,-,-,-,-,
"(Delhi Capitals, Sunrisers Hyderabad)",,,,,,,,,,,,,,
CM Gautam,2013-2015,13,-,-,-,-,-,-,-,-,-,-,-,
"(Delhi Daredevils, Mumbai Indians)",,,,,,,,,,,,,,
AN Ghosh,2009-2009,2,-,-,-,-,-,-,-,-,-,-,-,
(Kolkata Knight Riders),,,,,,,,,,,,,,
HH Gibbs,2008-2012,36,-,-,-,-,-,-,-,-,-,-,-,
"(Deccan Chargers, Mumbai Indians)",,,,,,,,,,,,,,
SP Goswami,2008-2020,31,-,-,-,-,-,-,-,-,-,-,-,
"(Kolkata Knight Riders, Rajasthan Royals, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,
MJ Guptill,2016-2019,13,-,-,-,-,-,-,-,-,-,-,-,
"(Kings XI Punjab, Mumbai Indians, Sunrisers Hyderabad)",,,,,,,,,,,,,,
BJ Haddin,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,
(Kolkata Knight Riders),,,,,,,,,,,,,,
AD Hales,2018-2018,6,-,-,-,-,-,-,-,-,-,-,-,
(Sunrisers Hyderabad),,,,,,,,,,,,,,
PSP Handscomb,2016-2016,2,-,-,-,-,-,-,-,-,-,-,-,
(Rising Pune Supergiants),,,,,,,,,,,,,,
Harpreet Singh,2010-2024,9,-,-,-,-,-,-,-,-,-,-,-,
"(Kolkata Knight Riders, Pune Warriors, Punjab Kings)",,,,,,,,,,,,,,
ML Hayden,2008-2010,32,-,-,-,-,-,-,-,-,-,-,-,
(Chennai Super Kings),,,,,,,,,,,,,,
SO Hetmyer,2019-2025,82,-,-,-,-,-,-,-,-,-,-,-,
"(Delhi Capitals, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,
Himmat Singh,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,
(Lucknow Super Giants),,,,,,,,,,,,,,
SD Hope,2024-2024,9,-,-,-,-,-,-,-,-,-,-,-,
(Delhi Capitals),,,,,,,,,,,,,,
MEK Hussey,2008-2015,59,-,-,-,-,-,-,-,-,-,-,-,
"(Chennai Super Kings, Mumbai Indians)",,,,,,,,,,,,,,
B Indrajith,2022-2022,3,-,-,-,-,-,-,-,-,-,-,-,
(Kolkata Knight Riders),,,,,,,,,,,,,,
JP Inglis,2025-2025,5,-,-,-,-,-,-,-,-,-,-,-,
(Punjab Kings),,,,,,,,,,,,,,
CA Ingram,2011-2019,14,-,-,-,-,-,-,-,-,-,-,-,
"(Delhi Capitals, Delhi Daredevils)",,,,,,,,,,,,,,
SP Jackson,2017-2022,9,-,-,-,-,-,-,-,-,-,-,-,
(Kolkata Knight Riders),,,,,,,,,,,,,,
DJ Jacobs,2011-2012,7,-,-,-,-,-,-,-,-,-,-,-,
(Mumbai Indians),,,,,,,,,,,,,,
KM Jadhav,2010-2023,95,-,-,-,-,-,-,-,-,-,-,-,
"(Chennai Super Kings, Delhi Daredevils, Kochi Tuskers Kerala, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,
W Jaffer,2008-2009,8,-,-,-,-,-,-,-,-,-,-,-,
(Royal Challengers Bangalore),,,,,,,,,,,,,,
N Jagadeesan,2020-2023,13,-,-,-,-,-,-,-,-,-,-,-,
"(Chennai Super Kings, Kolkata Knight Riders)",,,,,,,,,,,,,,
IR Jaggi,2011-2017,7,-,-,-,-,-,-,-,-,-,-,-,
"(Deccan Chargers, Kolkata Knight Riders)",,,,,,,,,,,,,,
DPMD Jayawardene,2008-2013,80,-,-,-,-,-,-,-,-,-,-,-,
"(Delhi Daredevils, Kings XI Punjab, Kochi Tuskers Kerala)",,,,,,,,,,,,,,
MC Juneja,2013-2013,7,-,-,-,-,-,-,-,-,-,-,-,
(Delhi Daredevils),,,,,,,,,,,,,,
DC Jurel,2023-2025,37,-,-,-,-,-,-,-,-,-,-,-,
(Rajasthan Royals),,,,,,,,,,,,,,
M Kaif,2008-2012,29,-,-,-,-,-,-,-,-,-,-,-,
"(Kings XI Punjab, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,
Kamran Akmal,2008-2008,6,-,-,-,-,-,-,-,-,-,-,-,
(Rajasthan Royals),,,,,,,,,,,,,,
KD Karthik,2008-2024,256,-,-,-,-,-,-,-,-,-,-,-,
"(Delhi Daredevils, Gujarat Lions, Kings XI Punjab, Kolkata Knight Riders, Mumbai Indians, Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
SM Katich,2008-2009,11,-,-,-,-,-,-,-,-,-,-,-,
(Kings XI Punjab),,,,,,,,,,,,,,
U Kaul,2008-2008,5,-,-,-,-,-,-,-,-,-,-,-,
(Kings XI Punjab),,,,,,,,,,,,,,
UT Khawaja,2016-2016,6,-,-,-,-,-,-,-,-,-,-,-,
(Rising Pune Supergiants),,,,,,,,,,,,,,
H Klaasen,2018-2025,44,-,-,-,-,-,-,-,-,-,-,-,
"(Rajasthan Royals, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,
M Klinger,2011-2011,4,-,-,-,-,-,-,-,-,-,-,-,
(Kochi Tuskers Kerala),,,,,,,,,,,,,,
T Kohler-Cadmore,2024-2024,3,-,-,-,-,-,-,-,-,-,-,-,
(Rajasthan Royals),,,,,,,,,,,,,,
T Kohli,2008-2009,4,-,-,-,-,-,-,-,-,-,-,-,
"(Kings XI Punjab, Rajasthan Royals)",,,,,,,,,,,,,,
TK Kotian,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,
(Rajasthan Royals),,,,,,,,,,,,,,
AA Kulkarni,2024-2024,2,-,-,-,-,-,-,-,-,-,-,-,
(Lucknow Super Giants),,,,,,,,,,,,,,
K Kushagra,2024-2024,4,-,-,-,-,-,-,-,-,-,-,-,
(Delhi Capitals),,,,,,,,,,,,,,
SD Lad,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,
(Mumbai Indians),,,,,,,,,,,,,,
VVS Laxman,2008-2011,20,-,-,-,-,-,-,-,-,-,-,-,
"(Deccan Chargers, Kochi Tuskers Kerala)",,,,,,,,,,,,,,
DS Lehmann,2008-2008,2,-,-,-,-,-,-,-,-,-,-,-,
(Rajasthan Royals),,,,,,,,,,,,,,
RE Levi,2012-2012,6,-,-,-,-,-,-,-,-,-,-,-,
(Mumbai Indians),,,,,,,,,,,,,,
E Lewis,2018-2022,27,-,-,-,-,-,-,-,-,-,-,-,
"(Lucknow Super Giants, Mumbai Indians, Rajasthan Royals)",,,,,,,,,,,,,,
Litton Das,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,
(Kolkata Knight Riders),,,,,,,,,,,,,,
MJ Lumb,2010-2011,12,-,-,-,-,-,-,-,-,-,-,-,
"(Deccan Chargers, Rajasthan Royals)",,,,,,,,,,,,,,
CA Lynn,2012-2021,42,-,-,-,-,-,-,-,-,-,-,-,
"(Deccan Chargers, Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,
BB McCullum,2008-2018,109,-,-,-,-,-,-,-,-,-,-,-,
"(Chennai Super Kings, Gujarat Lions, Kochi Tuskers Kerala, Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,
C Madan,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,
(Mumbai Indians),,,,,,,,,,,,,,
NJ Maddinson,2014-2015,3,-,-,-,-,-,-,-,-,-,-,-,
(Royal Challengers Bangalore),,,,,,,,,,,,,,
AP Majumdar,2012-2012,4,-,-,-,-,-,-,-,-,-,-,-,
(Pune Warriors),,,,,,,,,,,,,,
DJ Malan,2021-2021,1,-,-,-,-,-,-,-,-,-,-,-,
(Punjab Kings),,,,,,,,,,,,,,
PN Mankad,2022-2023,6,-,-,-,-,-,-,-,-,-,-,-,
"(Lucknow Super Giants, Punjab Kings)",,,,,,,,,,,,,,
