,,,,,,,,,venue Chennai,,,,,
Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
N Wadhera,4,4,0,86,62,21.5,63,136.5,0,1,0,6,4,
(Punjab Kings),,,,,,,,,,,,,,
SA Yadav,1,1,0,78,78,78,53,147.16,0,1,0,7,3,
(Mumbai Indians),,,,,,,,,,,,,,
V Kohli,1,1,1,73,73*,-,54,135.18,0,1,0,7,1,
(Royal Challengers Bengaluru),,,,,,,,,,,,,,
DP Conway,1,1,0,69,69,69,49,140.81,0,1,0,6,2,
(Chennai Super Kings),,,,,,,,,,,,,,
LS Livingstone,4,4,1,66,38*,22,46,143.47,0,0,0,5,4,
(Punjab Kings),,,,,,,,,,,,,,
R Parag,2,2,1,66,43*,66,43,153.48,0,0,0,4,4,
(Rajasthan Royals),,,,,,,,,,,,,,
K Nitish Kumar Reddy,1,1,0,64,64,64,37,172.97,0,1,0,4,5,
(Sunrisers Hyderabad),,,,,,,,,,,,,,
M Jansen,4,4,2,63,34*,31.5,47,134.04,0,0,0,2,4,
(Punjab Kings),,,,,,,,,,,,,,
D Padikkal,1,1,0,61,61,61,35,174.28,0,1,0,5,4,
(Royal Challengers Bengaluru),,,,,,,,,,,,,,
SV Samson,2,2,0,56,38,28,40,140,0,0,0,7,1,
(Rajasthan Royals),,,,,,,,,,,,,,
Harpreet Brar,6,4,2,55,29,27.5,37,148.64,0,0,0,6,2,
(Punjab Kings),,,,,,,,,,,,,,
SO Hetmyer,2,2,1,47,27*,47,22,213.63,0,0,0,3,4,
(Rajasthan Royals),,,,,,,,,,,,,,
S Dube,1,1,0,42,42,42,27,155.55,0,0,0,3,2,
(Chennai Super Kings),,,,,,,,,,,,,,
GJ Maxwell,3,3,0,38,30,12.66,33,115.15,0,0,0,4,1,
(Punjab Kings),,,,,,,,,,,,,,
A Raghuvanshi,1,1,0,37,37,37,28,132.14,0,0,0,5,1,
(Kolkata Knight Riders),,,,,,,,,,,,,,
S Dhawan,2,2,0,36,22,18,32,112.5,0,0,0,6,0,
(Punjab Kings),,,,,,,,,,,,,,
R Ravindra,1,1,0,36,36,36,23,156.52,0,0,0,6,0,
(Chennai Super Kings),,,,,,,,,,,,,,
RG Sharma,1,1,0,36,36,36,25,144,0,0,0,2,3,
(Mumbai Indians),,,,,,,,,,,,,,
R Tewatia,1,1,1,36,36*,-,18,200,0,0,0,7,0,
(Gujarat Titans),,,,,,,,,,,,,,
Shubman Gill,1,1,0,35,35,35,29,120.68,0,0,0,5,0,
(Gujarat Titans),,,,,,,,,,,,,,
NT Tilak Varma,1,1,1,34,34*,-,18,188.88,0,0,0,2,2,
(Mumbai Indians),,,,,,,,,,,,,,
SD Hope,1,1,0,33,33,33,25,132,0,0,0,2,2,
(Delhi Capitals),,,,,,,,,,,,,,
Abishek Porel,1,1,1,32,32*,-,10,320,0,0,0,4,2,
(Delhi Capitals),,,,,,,,,,,,,,
JP Inglis,2,2,0,31,29,15.5,23,134.78,0,0,0,2,1,
(Punjab Kings),,,,,,,,,,,,,,
B Sai Sudharsan,1,1,0,31,31,31,34,91.17,0,0,0,3,0,
(Gujarat Titans),,,,,,,,,,,,,,
DA Warner,1,1,0,29,29,29,21,138.09,0,0,0,3,2,
(Delhi Capitals),,,,,,,,,,,,,,
Sikandar Raza,1,1,0,28,28,28,22,127.27,0,0,0,2,2,
(Punjab Kings),,,,,,,,,,,,,,
MS Dhoni,1,1,0,27,27,27,12,225,0,0,0,1,3,
(Chennai Super Kings),,,,,,,,,,,,,,
Harpreet Singh,2,2,0,27,14,13.5,34,79.41,0,0,0,2,0,
(Punjab Kings),,,,,,,,,,,,,,
Abdul Samad,1,1,0,25,25,25,12,208.33,0,0,0,5,0,
(Sunrisers Hyderabad),,,,,,,,,,,,,,
SS Iyer,4,4,0,25,10,6.25,24,104.16,0,0,1,3,1,
(Punjab Kings),,,,,,,,,,,,,,
JM Bairstow,3,3,0,24,15,8,25,96,0,0,1,3,0,
(Punjab Kings),,,,,,,,,,,,,,
TK Kotian,1,1,0,24,24,24,31,77.41,0,0,0,3,0,
(Rajasthan Royals),,,,,,,,,,,,,,
TM Head,1,1,0,21,21,21,15,140,0,0,0,4,0,
(Sunrisers Hyderabad),,,,,,,,,,,,,,
AR Patel,1,1,0,21,21,21,13,161.53,0,0,0,2,1,
(Delhi Capitals),,,,,,,,,,,,,,
MR Marsh,1,1,0,20,20,20,12,166.66,0,0,0,2,2,
(Delhi Capitals),,,,,,,,,,,,,,
DC Jurel,2,2,1,19,13*,19,16,118.75,0,0,0,1,1,
(Rajasthan Royals),,,,,,,,,,,,,,
RR Pant,1,1,0,18,18,18,13,138.46,0,0,0,2,0,
(Delhi Capitals),,,,,,,,,,,,,,
AM Rahane,1,1,0,17,17,17,17,100,0,0,0,1,1,
(Kolkata Knight Riders),,,,,,,,,,,,,,
AD Russell,1,1,0,17,17,17,11,154.54,0,0,0,1,2,
(Kolkata Knight Riders),,,,,,,,,,,,,,
Abhishek Sharma,1,1,0,16,16,16,11,145.45,0,0,0,2,1,
(Sunrisers Hyderabad),,,,,,,,,,,,,,
A Taide,1,1,0,15,15,15,12,125,0,0,0,2,0,
(Punjab Kings),,,,,,,,,,,,,,
TH David,2,1,0,14,14,14,7,200,0,0,0,2,1,
"(Mumbai Indians, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
Shahbaz Ahmed,1,1,1,14,14*,-,7,200,0,0,0,1,1,
(Sunrisers Hyderabad),,,,,,,,,,,,,,
Azmatullah Omarzai,1,1,0,13,13,13,10,130,0,0,0,0,1,
(Gujarat Titans),,,,,,,,,,,,,,
WP Saha,1,1,0,13,13,13,11,118.18,0,0,0,1,0,
(Gujarat Titans),,,,,,,,,,,,,,
RM Patidar,1,1,0,12,12,12,13,92.3,0,0,0,1,0,
(Royal Challengers Bengaluru),,,,,,,,,,,,,,
N Rana,1,1,0,12,12,12,7,171.42,0,0,0,2,0,
(Rajasthan Royals),,,,,,,,,,,,,,
XC Bartlett,2,1,0,11,11,11,15,73.33,0,0,0,1,0,
(Punjab Kings),,,,,,,,,,,,,,
R Powell,1,1,0,11,11,11,5,220,0,0,0,2,0,
(Rajasthan Royals),,,,,,,,,,,,,,
RA Tripathi,1,1,0,11,11,11,14,78.57,0,0,0,1,0,
(Sunrisers Hyderabad),,,,,,,,,,,,,,
HH Pandya,1,1,0,10,10,10,6,166.66,0,0,0,0,1,
(Mumbai Indians),,,,,,,,,,,,,,
RR Rossouw,2,2,0,10,9,5,10,100,0,0,0,2,0,
(Punjab Kings),,,,,,,,,,,,,,
RA Jadeja,1,1,1,9,9*,-,5,180,0,0,0,0,1,
(Chennai Super Kings),,,,,,,,,,,,,,
H Klaasen,1,1,0,9,9,9,9,100,0,0,0,1,0,
(Sunrisers Hyderabad),,,,,,,,,,,,,,
K Rabada,5,2,1,9,8,9,4,225,0,0,0,0,1,
(Punjab Kings),,,,,,,,,,,,,,
Ishan Kishan,1,1,0,8,8,8,8,100,0,0,0,1,0,
(Mumbai Indians),,,,,,,,,,,,,,
M Shahrukh Khan,1,1,0,8,8,8,4,200,0,0,0,0,1,
(Gujarat Titans),,,,,,,,,,,,,,
VR Iyer,1,1,0,7,7,7,4,175,0,0,0,0,0,
(Kolkata Knight Riders),,,,,,,,,,,,,,
B Kumar,2,1,0,6,6,6,8,75,0,0,0,0,0,
"(Royal Challengers Bengaluru, Sunrisers Hyderabad)",,,,,,,,,,,,,,
MP Stoinis,3,3,0,6,4,2,16,37.5,0,0,0,0,0,
(Punjab Kings),,,,,,,,,,,,,,
Suryansh Shedge,2,2,0,6,4,3,8,75,0,0,0,0,0,
(Punjab Kings),,,,,,,,,,,,,,
JD Unadkat,1,1,1,6,6*,-,1,600,0,0,0,0,1,
(Sunrisers Hyderabad),,,,,,,,,,,,,,
SP Narine,1,1,0,5,5,5,4,125,0,0,0,1,0,
(Kolkata Knight Riders),,,,,,,,,,,,,,
T Stubbs,1,1,0,5,5,5,8,62.5,0,0,0,0,0,
(Delhi Capitals),,,,,,,,,,,,,,
LH Ferguson,2,1,1,4,4*,-,1,400,0,0,0,1,0,
(Punjab Kings),,,,,,,,,,,,,,
DA Miller,1,1,0,4,4,4,6,66.66,0,0,0,0,0,
(Gujarat Titans),,,,,,,,,,,,,,
RK Bhui,1,1,0,3,3,3,7,42.85,0,0,0,0,0,
(Delhi Capitals),,,,,,,,,,,,,,
PJ Cummins,1,1,0,3,3,3,4,75,0,0,0,0,0,
(Sunrisers Hyderabad),,,,,,,,,,,,,,
Harshit Rana,1,1,0,3,3,3,6,50,0,0,0,0,0,
(Kolkata Knight Riders),,,,,,,,,,,,,,
Rashid Khan,1,1,0,3,3,3,3,100,0,0,0,0,0,
(Gujarat Titans),,,,,,,,,,,,,,
Arshdeep Singh,9,2,1,2,1*,2,6,33.33,0,0,0,0,0,
(Punjab Kings),,,,,,,,,,,,,,
Q de Kock,1,1,0,2,2,2,4,50,0,0,0,0,0,
(Kolkata Knight Riders),,,,,,,,,,,,,,
V Shankar,1,1,1,2,2*,-,2,100,0,0,0,0,0,
(Chennai Super Kings),,,,,,,,,,,,,,
RK Singh,1,1,0,2,2,2,9,22.22,0,0,0,0,0,
(Kolkata Knight Riders),,,,,,,,,,,,,,
Sumit Kumar,1,1,0,2,2,2,9,22.22,0,0,0,0,0,
(Delhi Capitals),,,,,,,,,,,,,,
RD Gaikwad,1,1,0,1,1,1,3,33.33,0,0,0,0,0,
(Chennai Super Kings),,,,,,,,,,,,,,
Kuldeep Yadav,1,1,0,1,1,1,2,50,0,0,0,0,0,
(Delhi Capitals),,,,,,,,,,,,,,
KA Maharaj,1,1,0,1,1,1,2,50,0,0,0,0,0,
(Rajasthan Royals),,,,,,,,,,,,,,
HV Patel,5,2,1,1,1*,1,5,20,0,0,1,0,0,
(Punjab Kings),,,,,,,,,,,,,,
PD Salt,1,1,0,1,1,1,3,33.33,0,0,0,0,0,
(Royal Challengers Bengaluru),,,,,,,,,,,,,,
R Shepherd,2,1,0,1,1,1,2,50,0,0,0,0,0,
"(Mumbai Indians, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
VG Arora,1,1,0,0,0,0,7,0,0,0,1,0,0,
(Kolkata Knight Riders),,,,,,,,,,,,,,
TA Boult,1,1,1,0,0*,-,0,-,0,0,0,0,0,
(Rajasthan Royals),,,,,,,,,,,,,,
AK Markram,1,1,0,0,0,0,2,0,0,0,1,0,0,
(Sunrisers Hyderabad),,,,,,,,,,,,,,
Mohammad Nabi,1,1,0,0,0,0,1,0,0,0,1,0,0,
(Mumbai Indians),,,,,,,,,,,,,,
A Nortje,1,1,1,0,0*,-,0,-,0,0,0,0,0,
(Kolkata Knight Riders),,,,,,,,,,,,,,
Ramandeep Singh,1,1,0,0,0,0,1,0,0,0,1,0,0,
(Kolkata Knight Riders),,,,,,,,,,,,,,
R Sai Kishore,1,1,1,0,0*,-,0,-,0,0,0,0,0,
(Gujarat Titans),,,,,,,,,,,,,,
KK Ahmed,2,-,-,-,-,-,-,-,-,-,-,-,-,
"(Chennai Super Kings, Delhi Capitals)",,,,,,,,,,,,,,
JC Archer,1,-,-,-,-,-,-,-,-,-,-,-,-,
(Rajasthan Royals),,,,,,,,,,,,,,
R Ashwin,1,-,-,-,-,-,-,-,-,-,-,-,-,
(Chennai Super Kings),,,,,,,,,,,,,,
Avesh Khan,1,-,-,-,-,-,-,-,-,-,-,-,-,
(Rajasthan Royals),,,,,,,,,,,,,,
JJ Bumrah,1,-,-,-,-,-,-,-,-,-,-,-,-,
(Mumbai Indians),,,,,,,,,,,,,,
YS Chahal,5,-,-,-,-,-,-,-,-,-,-,-,-,
"(Punjab Kings, Rajasthan Royals)",,,,,,,,,,,,,,
RD Chahar,1,-,-,-,-,-,-,-,-,-,-,-,-,
(Punjab Kings),,,,,,,,,,,,,,
G Coetzee,1,-,-,-,-,-,-,-,-,-,-,-,-,
(Mumbai Indians),,,,,,,,,,,,,,
S Gopal,1,-,-,-,-,-,-,-,-,-,-,-,-,
(Mumbai Indians),,,,,,,,,,,,,,
PW Hasaranga,1,-,-,-,-,-,-,-,-,-,-,-,-,
(Rajasthan Royals),,,,,,,,,,,,,,
JR Hazlewood,1,-,-,-,-,-,-,-,-,-,-,-,-,
(Royal Challengers Bengaluru),,,,,,,,,,,,,,
K Kartikeya,1,-,-,-,-,-,-,-,-,-,-,-,-,
(Rajasthan Royals),,,,,,,,,,,,,,
A Madhwal,1,-,-,-,-,-,-,-,-,-,-,-,-,
(Mumbai Indians),,,,,,,,,,,,,,
Mukesh Choudhary,1,-,-,-,-,-,-,-,-,-,-,-,-,
(Chennai Super Kings),,,,,,,,,,,,,,
T Natarajan,1,-,-,-,-,-,-,-,-,-,-,-,-,
(Sunrisers Hyderabad),,,,,,,,,,,,,,
Noor Ahmad,2,-,-,-,-,-,-,-,-,-,-,-,-,
"(Chennai Super Kings, Gujarat Titans)",,,,,,,,,,,,,,
KH Pandya,1,-,-,-,-,-,-,-,-,-,-,-,-,
(Royal Challengers Bengaluru),,,,,,,,,,,,,,
M Pathirana,1,-,-,-,-,-,-,-,-,-,-,-,-,
(Chennai Super Kings),,,,,,,,,,,,,,
Sandeep Sharma,1,-,-,-,-,-,-,-,-,-,-,-,-,
(Rajasthan Royals),,,,,,,,,,,,,,
S Sandeep Warrier,1,-,-,-,-,-,-,-,-,-,-,-,-,
(Gujarat Titans),,,,,,,,,,,,,,
KR Sen,1,-,-,-,-,-,-,-,-,-,-,-,-,
(Rajasthan Royals),,,,,,,,,,,,,,
I Sharma,1,-,-,-,-,-,-,-,-,-,-,-,-,
(Delhi Capitals),,,,,,,,,,,,,,
MM Sharma,1,-,-,-,-,-,-,-,-,-,-,-,-,
(Gujarat Titans),,,,,,,,,,,,,,
Suyash Sharma,1,-,-,-,-,-,-,-,-,-,-,-,-,
(Royal Challengers Bengaluru),,,,,,,,,,,,,,
Yash Thakur,1,-,-,-,-,-,-,-,-,-,-,-,-,
(Punjab Kings),,,,,,,,,,,,,,
M Theekshana,1,-,-,-,-,-,-,-,-,-,-,-,-,
(Rajasthan Royals),,,,,,,,,,,,,,
CV Varun,1,-,-,-,-,-,-,-,-,-,-,-,-,
(Kolkata Knight Riders),,,,,,,,,,,,,,
Yash Dayal,1,-,-,-,-,-,-,-,-,-,-,-,-,
(Royal Challengers Bengaluru),,,,,,,,,,,,,,
Yudhvir Singh,1,-,-,-,-,-,-,-,-,-,-,-,-,
(Rajasthan Royals),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,venue Jaipur,,,,,,,,,
Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
AM Rahane,2011-2023,37,35,6,1115,105*,38.44,911,122.39,1,7,1,127,15
"(Chennai Super Kings, Rajasthan Royals)",,,,,,,,,,,,,,
SR Watson,2008-2019,30,29,6,875,98*,38.04,625,140,0,5,2,87,41
"(Chennai Super Kings, Rajasthan Royals)",,,,,,,,,,,,,,
JC Buttler,2018-2025,21,21,4,819,100*,48.17,576,142.18,1,6,1,91,23
"(Gujarat Titans, Rajasthan Royals)",,,,,,,,,,,,,,
SV Samson,2013-2025,28,27,6,804,82*,38.28,574,140.06,0,6,3,69,27
(Rajasthan Royals),,,,,,,,,,,,,,
R Dravid,2008-2013,25,24,2,735,75*,33.4,616,119.31,0,5,0,94,13
"(Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,
YBK Jaiswal,2023-2025,13,13,2,546,104*,49.63,348,156.89,1,4,2,60,25
(Rajasthan Royals),,,,,,,,,,,,,,
R Parag,2019-2025,14,12,3,390,84*,43.33,253,154.15,0,2,0,29,21
(Rajasthan Royals),,,,,,,,,,,,,,
V Kohli,2008-2025,10,10,3,324,113*,46.28,275,117.81,1,1,0,30,7
"(Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
SPD Smith,2012-2019,8,8,2,314,73*,52.33,255,123.13,0,3,0,32,4
"(Pune Warriors, Rajasthan Royals)",,,,,,,,,,,,,,
BJ Hodge,2008-2013,17,15,4,304,48*,27.63,221,137.55,0,0,0,23,10
"(Kochi Tuskers Kerala, Kolkata Knight Riders, Rajasthan Royals)",,,,,,,,,,,,,,
STR Binny,2011-2019,22,15,7,248,41*,31,167,148.5,0,0,1,21,10
(Rajasthan Royals),,,,,,,,,,,,,,
RA Tripathi,2018-2023,10,10,3,221,80*,31.57,169,130.76,0,1,0,14,8
"(Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,
YK Pathan,2008-2018,14,12,1,207,68,18.81,146,141.78,0,2,1,19,9
"(Kolkata Knight Riders, Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,
Shubman Gill,2018-2025,5,4,1,198,84,66,139,142.44,0,2,0,17,6
"(Gujarat Titans, Kolkata Knight Riders)",,,,,,,,,,,,,,
RV Uthappa,2008-2019,7,7,1,198,54,33,149,132.88,0,1,0,25,6
"(Kolkata Knight Riders, Mumbai Indians, Pune Warriors, Royal Challengers Bangalore)",,,,,,,,,,,,,,
KL Rahul,2018-2024,4,4,1,196,95*,65.33,150,130.66,0,2,0,20,5
"(Kings XI Punjab, Lucknow Super Giants)",,,,,,,,,,,,,,
J Botha,2011-2012,12,10,4,188,45,31.33,177,106.21,0,0,0,12,2
(Rajasthan Royals),,,,,,,,,,,,,,
CH Gayle,2011-2019,5,5,1,188,79,47,116,162.06,0,2,0,20,9
"(Kings XI Punjab, Royal Challengers Bangalore)",,,,,,,,,,,,,,
SR Tendulkar,2008-2013,5,5,2,185,89*,61.66,154,120.12,0,2,0,19,2
(Mumbai Indians),,,,,,,,,,,,,,
AL Menaria,2011-2012,14,12,2,183,40,18.3,155,118.06,0,0,1,11,10
(Rajasthan Royals),,,,,,,,,,,,,,
RA Jadeja,2008-2023,13,9,5,180,36*,45,139,129.49,0,0,0,15,5
"(Chennai Super Kings, Kochi Tuskers Kerala, Rajasthan Royals)",,,,,,,,,,,,,,
GC Smith,2008-2008,5,5,2,176,75*,58.66,170,103.52,0,1,0,19,2
(Rajasthan Royals),,,,,,,,,,,,,,
AB de Villiers,2008-2019,6,5,1,166,59*,41.5,102,162.74,0,2,0,15,5
"(Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,
SA Asnodkar,2008-2008,4,4,0,159,60,39.75,126,126.19,0,2,0,24,2
(Rajasthan Royals),,,,,,,,,,,,,,
DA Warner,2011-2024,4,4,0,153,54,38.25,128,119.53,0,1,0,13,4
"(Delhi Capitals, Delhi Daredevils, Sunrisers Hyderabad)",,,,,,,,,,,,,,
SK Raina,2008-2019,6,6,0,150,52,25,112,133.92,0,1,0,20,1
(Chennai Super Kings),,,,,,,,,,,,,,
LRPL Taylor,2010-2012,9,9,6,150,47*,50,126,119.04,0,0,0,9,6
"(Delhi Daredevils, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,
MS Dhoni,2008-2023,7,6,2,145,58,36.25,111,130.63,0,1,0,7,7
(Chennai Super Kings),,,,,,,,,,,,,,
BA Stokes,2018-2019,12,12,2,145,40,14.5,125,116,0,0,2,8,5
(Rajasthan Royals),,,,,,,,,,,,,,
V Suryavanshi,2025-2025,2,2,0,135,101,67.5,58,232.75,1,0,0,9,14
(Rajasthan Royals),,,,,,,,,,,,,,
TM Dilshan,2008-2012,3,3,2,132,76*,132,97,136.08,0,1,0,19,2
"(Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,
PA Patel,2008-2019,4,4,0,132,67,33,97,136.08,0,1,1,14,3
"(Chennai Super Kings, Kochi Tuskers Kerala, Royal Challengers Bangalore)",,,,,,,,,,,,,,
RR Pant,2018-2025,4,4,1,129,78*,43,85,151.76,0,1,0,11,5
"(Delhi Capitals, Delhi Daredevils, Lucknow Super Giants)",,,,,,,,,,,,,,
G Gambhir,2008-2018,5,4,1,128,75*,42.66,90,142.22,0,1,1,16,2
"(Delhi Daredevils, Kolkata Knight Riders)",,,,,,,,,,,,,,
DC Jurel,2023-2025,13,9,3,127,35*,21.16,86,147.67,0,0,1,10,5
(Rajasthan Royals),,,,,,,,,,,,,,
SO Hetmyer,2019-2025,14,12,4,124,35,15.5,101,122.77,0,0,0,8,6
"(Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,
MK Pandey,2008-2019,5,5,0,124,61,24.8,101,122.77,0,1,0,17,0
"(Mumbai Indians, Pune Warriors, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,
N Pooran,2019-2025,4,4,1,116,64*,38.66,83,139.75,0,1,0,9,5
"(Kings XI Punjab, Lucknow Super Giants)",,,,,,,,,,,,,,
SA Yadav,2018-2024,3,3,0,116,72,38.66,88,131.81,0,1,0,9,4
(Mumbai Indians),,,,,,,,,,,,,,
S Dhawan,2008-2019,5,5,0,115,54,23,79,145.56,0,2,1,17,2
"(Deccan Chargers, Delhi Capitals, Delhi Daredevils, Sunrisers Hyderabad)",,,,,,,,,,,,,,
D Padikkal,2023-2025,6,6,2,109,40*,27.25,81,134.56,0,0,1,16,1
"(Lucknow Super Giants, Rajasthan Royals, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
M Vijay,2011-2013,3,3,0,108,55,36,95,113.68,0,2,1,8,3
(Chennai Super Kings),,,,,,,,,,,,,,
AT Rayudu,2010-2023,7,6,0,107,57,17.83,103,103.88,0,1,2,7,3
"(Chennai Super Kings, Mumbai Indians)",,,,,,,,,,,,,,
Yuvraj Singh,2008-2013,4,4,0,107,57,26.75,72,148.61,0,1,0,8,7
"(Kings XI Punjab, Pune Warriors)",,,,,,,,,,,,,,
F du Plessis,2019-2024,3,3,0,106,55,35.33,87,121.83,0,1,0,5,4
"(Chennai Super Kings, Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
MEK Hussey,2011-2013,3,3,0,105,46,35,102,102.94,0,0,0,16,0
(Chennai Super Kings),,,,,,,,,,,,,,
JH Kallis,2008-2013,5,5,1,105,80*,26.25,106,99.05,0,1,2,9,2
"(Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,
V Sehwag,2008-2013,4,4,0,105,73,26.25,67,156.71,0,1,0,17,1
(Delhi Daredevils),,,,,,,,,,,,,,
MJ Lumb,2010-2010,3,3,0,100,83,33.33,57,175.43,0,1,0,19,2
(Rajasthan Royals),,,,,,,,,,,,,,
KP Pietersen,2010-2012,2,2,0,98,62,49,63,155.55,0,1,0,13,3
"(Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,
DJ Hussey,2008-2013,3,3,0,96,42,32,71,135.21,0,0,0,6,3
"(Kings XI Punjab, Kolkata Knight Riders)",,,,,,,,,,,,,,
DR Smith,2008-2012,2,2,1,95,87*,95,65,146.15,0,1,0,11,3
(Mumbai Indians),,,,,,,,,,,,,,
K Gowtham,2018-2019,10,8,2,93,33*,15.5,43,216.27,0,0,0,5,8
(Rajasthan Royals),,,,,,,,,,,,,,
DPMD Jayawardene,2008-2013,5,5,0,93,44,18.6,84,110.71,0,0,1,12,2
"(Delhi Daredevils, Kings XI Punjab, Kochi Tuskers Kerala)",,,,,,,,,,,,,,
JP Duminy,2010-2012,2,2,1,89,58*,89,58,153.44,0,1,0,7,5
"(Deccan Chargers, Mumbai Indians)",,,,,,,,,,,,,,
OA Shah,2012-2013,7,7,3,89,28*,22.25,73,121.91,0,0,0,6,3
(Rajasthan Royals),,,,,,,,,,,,,,
AC Gilchrist,2008-2013,3,3,0,88,61,29.33,69,127.53,0,1,1,12,2
"(Deccan Chargers, Kings XI Punjab)",,,,,,,,,,,,,,
KD Karthik,2008-2024,7,4,1,85,42*,28.33,72,118.05,0,0,1,6,2
"(Delhi Daredevils, Kolkata Knight Riders, Mumbai Indians, Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
SP Narine,2012-2019,4,4,1,84,47,28,53,158.49,0,0,1,11,4
(Kolkata Knight Riders),,,,,,,,,,,,,,
Y Venugopal Rao,2008-2011,2,2,1,83,60,83,51,162.74,0,1,0,7,5
"(Deccan Chargers, Delhi Daredevils)",,,,,,,,,,,,,,
MK Tiwary,2011-2018,4,3,0,80,59,26.66,70,114.28,0,1,0,8,0
"(Kings XI Punjab, Kolkata Knight Riders)",,,,,,,,,,,,,,
DH Yagnik,2011-2013,12,7,3,80,34,20,60,133.33,0,0,0,10,2
(Rajasthan Royals),,,,,,,,,,,,,,
KC Sangakkara,2008-2013,4,4,0,77,44,19.25,51,150.98,0,0,0,10,2
"(Deccan Chargers, Kings XI Punjab, Sunrisers Hyderabad)",,,,,,,,,,,,,,
HH Pandya,2018-2024,4,4,1,76,39*,25.33,42,180.95,0,0,0,7,4
"(Gujarat Titans, Mumbai Indians)",,,,,,,,,,,,,,
AS Raut,2010-2011,7,4,3,76,32*,76,59,128.81,0,0,0,4,4
(Rajasthan Royals),,,,,,,,,,,,,,
KS Williamson,2018-2019,2,2,0,76,63,38,57,133.33,0,1,0,9,2
(Sunrisers Hyderabad),,,,,,,,,,,,,,
B Sai Sudharsan,2024-2025,2,2,0,74,39,37,59,125.42,0,0,0,7,2
(Gujarat Titans),,,,,,,,,,,,,,
AK Markram,2023-2025,2,2,0,72,66,36,50,144,0,1,0,6,3
"(Lucknow Super Giants, Sunrisers Hyderabad)",,,,,,,,,,,,,,
GJ Maxwell,2018-2024,3,3,0,72,54,24,48,150,0,1,0,7,4
"(Delhi Daredevils, Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
Q de Kock,2019-2024,2,2,0,69,65,34.5,52,132.69,0,1,0,7,2
"(Lucknow Super Giants, Mumbai Indians)",,,,,,,,,,,,,,
MP Stoinis,2018-2024,4,4,1,66,31*,22,64,103.12,0,0,0,4,1
"(Kings XI Punjab, Lucknow Super Giants, Royal Challengers Bangalore)",,,,,,,,,,,,,,
JA Morkel,2008-2012,3,3,2,65,42,65,43,151.16,0,0,0,5,3
(Chennai Super Kings),,,,,,,,,,,,,,
PD Salt,2025-2025,1,1,0,65,65,65,33,196.96,0,1,0,5,6
(Royal Challengers Bengaluru),,,,,,,,,,,,,,
NT Tilak Varma,2024-2024,1,1,0,65,65,65,45,144.44,0,1,0,5,3
(Mumbai Indians),,,,,,,,,,,,,,
BJ Rohrer,2013-2013,1,1,1,64,64*,-,40,160,0,1,0,9,1
(Delhi Daredevils),,,,,,,,,,,,,,
MR Marsh,2013-2025,3,3,1,62,35*,31,39,158.97,0,0,0,7,3
"(Delhi Capitals, Lucknow Super Giants, Pune Warriors)",,,,,,,,,,,,,,
NV Ojha,2010-2012,5,5,2,62,44*,20.66,56,110.71,0,0,2,6,2
"(Delhi Daredevils, Rajasthan Royals)",,,,,,,,,,,,,,
KA Pollard,2010-2019,6,5,1,61,25,15.25,62,98.38,0,0,0,4,3
(Mumbai Indians),,,,,,,,,,,,,,
DJG Sammy,2013-2013,1,1,0,60,60,60,41,146.34,0,1,0,8,1
(Sunrisers Hyderabad),,,,,,,,,,,,,,
Ishan Kishan,2018-2024,2,2,0,58,58,29,45,128.88,0,1,1,4,3
(Mumbai Indians),,,,,,,,,,,,,,
H Klaasen,2018-2023,3,3,0,58,32,19.33,34,170.58,0,0,1,5,3
"(Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,
WP Saha,2008-2023,5,4,2,58,41*,29,48,120.83,0,0,0,6,0
"(Chennai Super Kings, Gujarat Titans, Kolkata Knight Riders, Sunrisers Hyderabad)",,,,,,,,,,,,,,
AJ Finch,2011-2013,2,2,0,56,45,28,46,121.73,0,0,0,8,1
"(Delhi Daredevils, Pune Warriors)",,,,,,,,,,,,,,
